,SideA.Date,SideA.ViewData.Accounting Net Amount,SideA.ViewData.Age,SideA.ViewData.Age WK,SideA.ViewData.Asset Type Category,SideA.ViewData.Base Net Amount,SideA.ViewData.BreakID_A_side,SideA.ViewData.CUSIP,SideA.ViewData.Cancel Amount,SideA.ViewData.Cancel Flag,SideA.ViewData.Currency,SideA.ViewData.B-P Net Amount,SideA.ViewData.Custodian,SideA.ViewData.Custodian Account,SideA.ViewData.Description,SideA.ViewData.Fund,SideA.ViewData.ISIN,SideA.ViewData.Investment Type,SideA.ViewData.Mapped Custodian Account,SideA.ViewData.Net Amount Difference,SideA.ViewData.Net Amount Difference Absolute,SideA.ViewData.Price,SideA.ViewData.Prime Broker,SideA.ViewData.Quantity,SideA.ViewData.SEDOL,SideA.ViewData.SPM ID,SideA.ViewData.Settle Date,SideA.ViewData.Side0_UniqueIds,SideA.ViewData.Side1_UniqueIds,SideA.ViewData.Status,SideA.ViewData.Ticker,SideA.ViewData.Trade Date,SideA.ViewData.Transaction Category,SideA.ViewData.Transaction Type,SideA.ViewData.Underlying Cusip,SideA.ViewData.Underlying ISIN,SideA.ViewData.Underlying Investment ID,SideA.ViewData.Underlying Sedol,SideA.ViewData._ID,SideA.filter_key,SideB.Date,SideB.ViewData.Accounting Net Amount,SideB.ViewData.Age,SideB.ViewData.Age WK,SideB.ViewData.Asset Type Category,SideB.ViewData.Base Net Amount,SideB.ViewData.BreakID_B_side,SideB.ViewData.CUSIP,SideB.ViewData.Cancel Amount,SideB.ViewData.Cancel Flag,SideB.ViewData.Currency,SideB.ViewData.B-P Net Amount,SideB.ViewData.Custodian,SideB.ViewData.Custodian Account,SideB.ViewData.Description,SideB.ViewData.Fund,SideB.ViewData.ISIN,SideB.ViewData.Investment Type,SideB.ViewData.Mapped Custodian Account,SideB.ViewData.Net Amount Difference,SideB.ViewData.Net Amount Difference Absolute,SideB.ViewData.Price,SideB.ViewData.Prime Broker,SideB.ViewData.Quantity,SideB.ViewData.SEDOL,SideB.ViewData.SPM ID,SideB.ViewData.Settle Date,SideB.ViewData.Side0_UniqueIds,SideB.ViewData.Side1_UniqueIds,SideB.ViewData.Status,SideB.ViewData.Ticker,SideB.ViewData.Trade Date,SideB.ViewData.Transaction Category,SideB.ViewData.Transaction Type,SideB.ViewData.Underlying Cusip,SideB.ViewData.Underlying ISIN,SideB.ViewData.Underlying Investment ID,SideB.ViewData.Underlying Sedol,SideB.ViewData._ID,SideB.filter_key,duplicate_flag,filter_key,label,SideA.ISIN_NA,SideB.ISIN_NA,ISIN_match,CUSIP_match,Currency_match,Trade_Date_match,Settle_Date_match,Fund_match,Amount_diff_1,Amount_diff_2,Trade_date_diff,Settle_date_diff,SideA.ViewData.Asset Category Type,SideB.ViewData.Asset Category Type,SideB.ViewData.key_NAN,SideB.ViewData.Common_key,SideA.ViewData.key_NAN,SideA.ViewData.Common_key,All_key_nan,new_key_match,ViewData.Combined Transaction Type,ViewData.Combined Fund,open_key,amount_percent,Combined_Investment_Type,Combined_Asset_Type_Category,SideA.TType,SideB.TType,abs_amount_flag
1691,2020-01-31,,0,0.0,nan,,1107273337.0,nan,0.0,,USD,12229.24,BNY,833349,"ORD CUST: 8900492627 CS, CAYMAN ISLANDS BRANCH 11 MADISON AVORD INST: CRESUS33 CREDIT SUISSE AG, NEW YORK BRANCH 10010,NDETAIL: ENTERPRISE MERGER SUB INC. (10/18)FTS:F5S2001311224900",Alaska,nan,cd,OKMF86503102,12229.24,12229.24,0.0,bny,,,,01-31-2020,nan,84_379726394_The Bank of New York Mellon,OB,,01-31-2020,nan,cash deposit,,,,,5e37c875155458119ca629df,"Advent Geneva,The Bank of New York MellonOKMF86503102USD",2020-01-31,12229.24,0.0,0.0,nan,,1107273321.0,29373UAC5,12229.24,0.0,USD,,Alaska,OKMF86503102,Envision Healthcare Corporation-Initial Term Loan-TF-LIBOR,Alaska,US29373UAC53,bank debt (term loan),OKMF86503102,-12229.24,12229.24,,bny,,,,01-31-2020,30_379726394_Advent Geneva,nan,OB,LX175867,01-31-2020,nan,interest,,,,,5e37c875155458119ca629e6,"Advent Geneva,The Bank of New York MellonOKMF86503102USD",0.0,,UMR_One_to_One,1,0,0,0,1,1,1,1,,0.0,0.0,0,,,0,US29373UAC53,1,NA,0,0,cash depositinterest,AlaskaAlaska,30_379726394_Advent Geneva84_379726394_The Bank of New York Mellon,100.0,cdbank debt (term loan),,Non-Trade,Non-Trade,0
1692,2020-01-31,,0,0.0,nan,,1107273323.0,nan,0.0,,USD,10426.76,BNY,833349,"ORD CUST: 8900492627 CS, CAYMAN ISLANDS BRANCH 11 MADISON AVORD INST: CRESUS33 CREDIT SUISSE AG, NEW YORK BRANCH 10010,NDETAIL: TRANSDIGM INC. (12/10)(2A/R 6/14)FTS:F5S2001319353000",Alaska,nan,cd,OKMF86503102,10426.76,10426.76,0.0,bny,,,,01-31-2020,nan,210_379726394_The Bank of New York Mellon,OB,,01-31-2020,nan,cash deposit,,,,,5e37c875155458119ca629ea,"Advent Geneva,The Bank of New York MellonOKMF86503102USD",2020-01-31,10426.76,0.0,0.0,nan,,1107273333.0,89364MBP8,10426.76,0.0,USD,,Alaska,OKMF86503102,Transdigm-New Tranche F Term Loan (2018)-TF-LIBOR,Alaska,US89364MBP86,bank debt (term loan),OKMF86503102,-10426.76,10426.76,,bny,,,,01-31-2020,31_379726394_Advent Geneva,nan,OB,LX173457,01-31-2020,nan,interest,,,,,5e37c875155458119ca629d5,"Advent Geneva,The Bank of New York MellonOKMF86503102USD",0.0,,UMR_One_to_One,1,0,0,0,1,1,1,1,,0.0,0.0,0,,,0,US89364MBP86,1,NA,0,0,cash depositinterest,AlaskaAlaska,31_379726394_Advent Geneva210_379726394_The Bank of New York Mellon,100.0,cdbank debt (term loan),,Non-Trade,Non-Trade,0
1693,2020-01-31,,0,0.0,nan,,1107273427.0,nan,0.0,,USD,5899.01,BNY,833349,ORD INST: MEIUS1L019291 J P MORGAN CHASE 10 S DEARBORNDETAIL: /BNF/89435TAA2TRAVERSE MIDSTREAM HO//LDINGS 2018TLBQDETAIL: UICK REPRICING FOR//THE OUTSTANDING TRAVERSE5899.01IMA:20200131B1QGC03C015861 FTS:FDF2001316355000,Alaska,nan,cd,OKMF86503102,5899.01,5899.01,0.0,bny,,,,01-31-2020,nan,209_379726394_The Bank of New York Mellon,OB,,01-31-2020,nan,cash deposit,,,,,5e37c875155458119ca62a37,"Advent Geneva,The Bank of New York MellonOKMF86503102USD",2020-01-31,5899.01,0.0,0.0,nan,,1107273345.0,89435TAB0,5899.01,0.0,USD,,Alaska,OKMF86503102,Traverse Midstream Partners LLC-Advance-TF-LIBOR,Alaska,US89435TAB08,bank debt (term loan),OKMF86503102,-5899.01,5899.01,,bny,,,,01-31-2020,32_379726394_Advent Geneva,nan,OB,LX168620,01-31-2020,nan,interest,,,,,5e37c875155458119ca629fc,"Advent Geneva,The Bank of New York MellonOKMF86503102USD",0.0,,UMR_One_to_One,1,0,0,0,1,1,1,1,,0.0,0.0,0,,,0,US89435TAB08,1,NA,0,0,cash depositinterest,AlaskaAlaska,32_379726394_Advent Geneva209_379726394_The Bank of New York Mellon,100.0,cdbank debt (term loan),,Non-Trade,Non-Trade,0
1694,2020-01-31,,0,0.0,nan,,1107273322.0,nan,0.0,,USD,7304.36,BNY,833349,"ORD CUST: OTHR39052 CENTURYLINK INC 100 CENTURYLINK DRORD INST: BOFAUS3N BANK OF AMERICA, N.A. 10038,NY,USSSN:490800 FTS:FDC2001315885800",Alaska,nan,cd,OKMF86503102,7304.36,7304.36,0.0,bny,,,,01-31-2020,nan,83_379726394_The Bank of New York Mellon,OB,,01-31-2020,nan,cash deposit,,,,,5e37c875155458119ca629e8,"Advent Geneva,The Bank of New York MellonOKMF86503102USD",2020-01-31,7304.36,0.0,0.0,nan,,1107273366.0,15670BAB8,7304.36,0.0,USD,,Alaska,OKMF86503102,"CenturyLink, Inc.-Initial Term B Loan-TF-LIBOR",Alaska,US15670BAB80,bank debt (term loan),OKMF86503102,-7304.36,7304.36,,bny,,,,01-31-2020,33_379726394_Advent Geneva,nan,OB,LX161598,01-31-2020,nan,interest,,,,,5e37c875155458119ca62a17,"Advent Geneva,The Bank of New York MellonOKMF86503102USD",0.0,,UMR_One_to_One,1,0,0,0,1,1,1,1,,0.0,0.0,0,,,0,US15670BAB80,1,NA,0,0,cash depositinterest,AlaskaAlaska,33_379726394_Advent Geneva83_379726394_The Bank of New York Mellon,100.0,cdbank debt (term loan),,Non-Trade,Non-Trade,0
1695,2020-01-31,,0,0.0,nan,,1107273362.0,nan,0.0,,USD,117.52,BNY,731015,"ORD CUST: 8900492627 CS, CAYMAN ISLANDS BRANCH 11 MADISON AVORD INST: CRESUS33 CREDIT SUISSE AG, NEW YORK BRANCH 10010,NDETAIL: REYNOLDS GROUP HOLDINGS 11/09FTS:FTS2001311814500",CentralStates,nan,cd,OKMF86477802,117.52,117.52,0.0,bny,,,,01-31-2020,nan,197_379726394_The Bank of New York Mellon,OB,,01-31-2020,nan,cash deposit,,,,,5e37c875155458119ca62a11,"Advent Geneva,The Bank of New York MellonOKMF86477802USD",2020-01-31,117.52,0.0,0.0,nan,,1107273447.0,76173FAU1,117.52,0.0,USD,,Central States,OKMF86477802,Reynolds Group Holdings-Incremental U.S. Term Loan-TF-LIBOR,CentralStates,US76173FAU12,bank debt (term loan),OKMF86477802,-117.52,117.52,,bny,,,,01-31-2020,17_379726394_Advent Geneva,nan,OB,LX159202,01-31-2020,nan,interest,,,,,5e37c875155458119ca62a67,"Advent Geneva,The Bank of New York MellonOKMF86477802USD",0.0,,UMR_One_to_One,1,0,0,0,1,1,1,1,,0.0,0.0,0,,,0,US76173FAU12,1,NA,0,0,cash depositinterest,CentralStatesCentralStates,17_379726394_Advent Geneva197_379726394_The Bank of New York Mellon,100.0,cdbank debt (term loan),,Non-Trade,Non-Trade,0
1696,2020-01-31,,0,0.0,nan,,1107273389.0,nan,0.0,,USD,192.49,BNY,731015,"ORD CUST: 8900492627 CS, CAYMAN ISLANDS BRANCH 11 MADISON AVORD INST: CRESUS33 CREDIT SUISSE AG, NEW YORK BRANCH 10010,NDETAIL: REYNOLDS GROUP HOLDINGS 11/09FTS:FTS2001312110200",CentralStates,nan,cd,OKMF86477802,192.49,192.49,0.0,bny,,,,01-31-2020,nan,70_379726394_The Bank of New York Mellon,OB,,01-31-2020,nan,cash deposit,,,,,5e37c875155458119ca62a23,"Advent Geneva,The Bank of New York MellonOKMF86477802USD",2020-01-31,192.49,0.0,0.0,nan,,1107273354.0,76173FAU1,192.49,0.0,USD,,Central States,OKMF86477802,Reynolds Group Holdings-Incremental U.S. Term Loan-TF-LIBOR,CentralStates,US76173FAU12,bank debt (term loan),OKMF86477802,-192.49,192.49,,bny,,,,01-31-2020,15_379726394_Advent Geneva,nan,OB,LX159202,01-31-2020,nan,interest,,,,,5e37c875155458119ca62a04,"Advent Geneva,The Bank of New York MellonOKMF86477802USD",0.0,,UMR_One_to_One,1,0,0,0,1,1,1,1,,0.0,0.0,0,,,0,US76173FAU12,1,NA,0,0,cash depositinterest,CentralStatesCentralStates,15_379726394_Advent Geneva70_379726394_The Bank of New York Mellon,100.0,cdbank debt (term loan),,Non-Trade,Non-Trade,0
1697,2020-01-31,,0,0.0,nan,,1107273400.0,nan,0.0,,USD,521.54,BNY,731015,"ORD CUST: 8900492627 CS, CAYMAN ISLANDS BRANCH 11 MADISON AVORD INST: CRESUS33 CREDIT SUISSE AG, NEW YORK BRANCH 10010,NDETAIL: REYNOLDS GROUP HOLDINGS 11/09FTS:FTS2001312109300",CentralStates,nan,cd,OKMF86477802,521.54,521.54,0.0,bny,,,,01-31-2020,nan,71_379726394_The Bank of New York Mellon,OB,,01-31-2020,nan,cash deposit,,,,,5e37c875155458119ca62a3d,"Advent Geneva,The Bank of New York MellonOKMF86477802USD",2020-01-31,521.54,0.0,0.0,nan,,1107273409.0,76173FAU1,521.54,0.0,USD,,Central States,OKMF86477802,Reynolds Group Holdings-Incremental U.S. Term Loan-TF-LIBOR,CentralStates,US76173FAU12,bank debt (term loan),OKMF86477802,-521.54,521.54,,bny,,,,01-31-2020,16_379726394_Advent Geneva,nan,OB,LX159202,01-31-2020,nan,interest,,,,,5e37c875155458119ca62a4f,"Advent Geneva,The Bank of New York MellonOKMF86477802USD",0.0,,UMR_One_to_One,1,0,0,0,1,1,1,1,,0.0,0.0,0,,,0,US76173FAU12,1,NA,0,0,cash depositinterest,CentralStatesCentralStates,16_379726394_Advent Geneva71_379726394_The Bank of New York Mellon,100.0,cdbank debt (term loan),,Non-Trade,Non-Trade,0
1698,2020-01-31,,0,0.0,nan,,1107273435.0,nan,0.0,,USD,2122.44,BNY,731015,ORD CUST: 9008113381 J P MORGAN CHASE 10 S DEARBORNORD INST: BANK ONE LS2 10410 HIGHLAND MANOR DRIVEDETAIL: 89435TAA2TRAVERSE MIDSTREAMHOLDINGS 2018TLBQUICK REPDETAIL: RICINGFORTHE OUTSTANDING TRAVERSE2122.44IMA:20200131B1QGC03C015835 FTS:FDF2001316350000,CentralStates,nan,cd,OKMF86477802,2122.44,2122.44,0.0,bny,,,,01-31-2020,nan,72_379726394_The Bank of New York Mellon,OB,,01-31-2020,nan,cash deposit,,,,,5e37c875155458119ca62a4b,"Advent Geneva,The Bank of New York MellonOKMF86477802USD",2020-01-31,2122.44,0.0,0.0,nan,,1107273376.0,89435TAB0,2122.44,0.0,USD,,Central States,OKMF86477802,Traverse Midstream Partners LLC-Advance-TF-LIBOR,CentralStates,US89435TAB08,bank debt (term loan),OKMF86477802,-2122.44,2122.44,,bny,,,,01-31-2020,21_379726394_Advent Geneva,nan,OB,LX168620,01-31-2020,nan,interest,,,,,5e37c875155458119ca62a24,"Advent Geneva,The Bank of New York MellonOKMF86477802USD",0.0,,UMR_One_to_One,1,0,0,0,1,1,1,1,,0.0,0.0,0,,,0,US89435TAB08,1,NA,0,0,cash depositinterest,CentralStatesCentralStates,21_379726394_Advent Geneva72_379726394_The Bank of New York Mellon,100.0,cdbank debt (term loan),,Non-Trade,Non-Trade,0
1699,2020-01-31,,0,0.0,nan,,1107273406.0,nan,0.0,,USD,3956.48,BNY,731015,"ORD CUST: 8900492627 CS, CAYMAN ISLANDS BRANCH 11 MADISON AVORD INST: CRESUS33 CREDIT SUISSE AG, NEW YORK BRANCH 10010,NDETAIL: ENTERPRISE MERGER SUB INC. (10/18)FTS:F3S2001318894800",CentralStates,nan,cd,OKMF86477802,3956.48,3956.48,0.0,bny,,,,01-31-2020,nan,198_379726394_The Bank of New York Mellon,OB,,01-31-2020,nan,cash deposit,,,,,5e37c875155458119ca62a4a,"Advent Geneva,The Bank of New York MellonOKMF86477802USD",2020-01-31,3956.48,0.0,0.0,nan,,1107273305.0,29373UAC5,3956.48,0.0,USD,,Central States,OKMF86477802,Envision Healthcare Corporation-Initial Term Loan-TF-LIBOR,CentralStates,US29373UAC53,bank debt (term loan),OKMF86477802,-3956.48,3956.48,,bny,,,,01-31-2020,19_379726394_Advent Geneva,nan,OB,LX175867,01-31-2020,nan,interest,,,,,5e37c875155458119ca629cd,"Advent Geneva,The Bank of New York MellonOKMF86477802USD",0.0,,UMR_One_to_One,1,0,0,0,1,1,1,1,,0.0,0.0,0,,,0,US29373UAC53,1,NA,0,0,cash depositinterest,CentralStatesCentralStates,19_379726394_Advent Geneva198_379726394_The Bank of New York Mellon,100.0,cdbank debt (term loan),,Non-Trade,Non-Trade,0
1700,2020-01-31,,0,0.0,nan,,1107273434.0,nan,0.0,,USD,4562.85,BNY,731015,"ORD CUST: 8900492627 CS, CAYMAN ISLANDS BRANCH 11 MADISON AVORD INST: CRESUS33 CREDIT SUISSE AG, NEW YORK BRANCH 10010,NDETAIL: TRANSDIGM INC. (12/10)(2A/R 6/14)FTS:F3S2001316642900",CentralStates,nan,cd,OKMF86477802,4562.85,4562.85,0.0,bny,,,,01-31-2020,nan,199_379726394_The Bank of New York Mellon,OB,,01-31-2020,nan,cash deposit,,,,,5e37c875155458119ca62a48,"Advent Geneva,The Bank of New York MellonOKMF86477802USD",2020-01-31,4562.85,0.0,0.0,nan,,1107273327.0,89364MBP8,4562.85,0.0,USD,,Central States,OKMF86477802,Transdigm-New Tranche F Term Loan (2018)-TF-LIBOR,CentralStates,US89364MBP86,bank debt (term loan),OKMF86477802,-4562.85,4562.85,,bny,,,,01-31-2020,20_379726394_Advent Geneva,nan,OB,LX173457,01-31-2020,nan,interest,,,,,5e37c875155458119ca629f0,"Advent Geneva,The Bank of New York MellonOKMF86477802USD",0.0,,UMR_One_to_One,1,0,0,0,1,1,1,1,,0.0,0.0,0,,,0,US89364MBP86,1,NA,0,0,cash depositinterest,CentralStatesCentralStates,20_379726394_Advent Geneva199_379726394_The Bank of New York Mellon,100.0,cdbank debt (term loan),,Non-Trade,Non-Trade,0
