Pairing,var,Catogery,replace
internal transfer,NANA,NANA,internal transfer
month end interest, month end,Interest,month end interest
adr,NANA,NANA,adr
lp,NANA,NANA,company
plc,NANA,NANA,company
inc.,NANA,NANA,company
inc,NANA,NANA,company
swap,NANA,NANA,equity swap settlement
future,NANA,NANA,future
fut,NANA,NANA,future
call ,NANA,NANA,option
put,NANA,NANA,option
futr,NANA,NANA,future
bond,NANA,NANA,bond
forward,NANA,NANA,forward
income earned for TIER 01 UNINVESTED AMNT,NANA,NANA,Revenue
libor,NANA,NANA,interest
term loan,NANA,NANA,term loan
TL-FILO,NANA,NANA,TL-FILO
144A,NANA,NANA,144A
Sr Sec,NANA,NANA,Sr Sec
Sr Unsec,NANA,NANA,Sr Unsec
s unsec,,,Sr Unsec
s sec,,,Sr Sec
Lien,,,Loan
callable,,,callable
cr_int,,,credit_interest
debit_interest,,,debit_interest
debit_int,,,debit_interest
000000000000STIF INVESTMENTS,,,stif
co,,,company
group,,,compnay
grp,,,compnay
holdings,,,compnay
intl,,,compnay
intl.,,,compnay
third party fx sell,,,third party fx sell
third party fx buy,,,third party fx buy
escrow,,,escrow
contra,,,contract
contract,,,contract
contract1,,,contract
tl,,,term loan
shares,,,compnay
paydown,,,interest
loan-tf-libor,,,term loan
Term Loan (First Lien)-TF-LIBOR,,,term loan
B TF LIBOR,,,term loan
B5 TF LIBOR,,,term loan
B15 TF LIBOR,,,term loan
TL B4,,,term loan
TL B,,,term loan
TL B15,,,term loan
TL B3,,,term loan
B3 TF LIBOR,,,term loan
B2 TF LIBOR,,,term loan
dr interest account,,,dr interest-account
cr interest account,,,cr interest-account
shares fund,,,month end interest
interest adjustment month,,,month end interest
interest month end,,,month end interest
interest month ending,,,month end interest
credit interest,,,credit_interest
int_adj,,,month end interest
stif,,,stif
callable notes fixed,,,callable notes fixed
