,Side1_UniqueIds,Side0_UniqueIds,Predicted_Status,Predicted_action,PredictedCategory,PredictedComment,TaskID,SourceCombinationCode,BusinessDate,BreakID,Final_predicted_break,ML_flag,SetupID,probability_No_pair,probability_UMB,probability_UMR,probability_UMT,ReconSetupName,ClientShortCode,CreatedDate,ActionType,ActionTypeCode
0,,44_2491400081_Integrata,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772797,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
1,,44_2491400067_Integrata,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769610,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
2,,100_2491400067_Integrata,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769598,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
3,,100_2491400081_Integrata,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772815,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
4,,3_2491400067_Integrata,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769354,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
5,,3_2491400081_Integrata,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772553,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
6,222_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772823,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
7,180_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769623,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
8,237_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769376,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
9,180_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772807,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
10,237_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772575,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
11,178_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769604,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
