,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen
0,AA,17_2491100855_Morgan Stanley,1602169267,OB,OB,No-pair,fees,Morgan Stanley  booked the fees transaction for SD 11-10-2020. Integrata yet to book.,Morgan Stanley 
1,AA,24_2491276792_Morgan Stanley,1837016551,OB,OB,No-pair,fees,Morgan Stanley  booked the fees transaction for SD 03-19-2021. Integrata yet to book.,Morgan Stanley 
2,AA,55_249847450_Morgan Stanley,1267258047,OB,OB,No-pair,proceeds trade settlement,Morgan Stanley  booked the proceeds trade settlement transaction for SD 05-05-2020. Integrata yet to book.,Morgan Stanley 
3,AA,17_249790009_Morgan Stanley,1193501036,OB,OB,No-pair,fees,Morgan Stanley  booked the fees transaction for SD 03-20-2020. Integrata yet to book.,Morgan Stanley 
4,AA,158_2491436016_Morgan Stanley,2049195934,OB,OB,No-pair,fees,Morgan Stanley  booked the fees transaction for SD 07-15-2021. Integrata yet to book.,Morgan Stanley 
5,AA,41_249833320_Morgan Stanley,1248861641,OB,OB,No-pair,proceeds trade settlement,Morgan Stanley  booked the proceeds trade settlement transaction for SD 04-23-2020. Integrata yet to book.,Morgan Stanley 
6,3_2491204340_Integrata,BB,1739344995,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 01-28-2021. Morgan Stanley  yet to book.,Morgan Stanley 
7,4_2491204340_Integrata,BB,1739344996,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 01-28-2021. Morgan Stanley  yet to book.,Morgan Stanley 
8,4_2491424237_Integrata,BB,2035178176,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 07-09-2021. Morgan Stanley  yet to book.,Morgan Stanley 
9,17_2491333888_Integrata,BB,1910701330,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 05-04-2021. Morgan Stanley  yet to book.,Morgan Stanley 
10,18_2491426284_Integrata,BB,2037474498,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 07-12-2021. Morgan Stanley  yet to book.,Morgan Stanley 
11,9_2491422543_Integrata,BB,2033242088,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 07-08-2021. Morgan Stanley  yet to book.,Morgan Stanley 
12,1_2491403476_Integrata,BB,2008174118,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 06-24-2021. Morgan Stanley  yet to book.,Morgan Stanley 
13,3_2491030949_Integrata,BB,1510371736,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 09-23-2020. Morgan Stanley  yet to book.,Morgan Stanley 
14,2_249785145_Integrata,BB,1187364184,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 03-19-2020. Morgan Stanley  yet to book.,Morgan Stanley 
15,57_2491402502_Integrata,BB,2006720614,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 06-23-2021. Morgan Stanley  yet to book.,Morgan Stanley 
16,40_2491402502_Integrata,BB,2006720624,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 06-23-2021. Morgan Stanley  yet to book.,Morgan Stanley 
17,3_249666875_Integrata,BB,1016673835,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 12-17-2019. Morgan Stanley  yet to book.,Morgan Stanley 
