,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen
499,,76_2491430053_Barclays,1859897354,OB,UCB,Close,Close,,Barclays
502,,76_2491430067_Barclays,1859905396,OB,UCB,Close,Close,,Barclays
514,,69_2491400083_Barclays,1859773003,OB,UCB,Close,Close,,Barclays
535,,93_2491430314_Barclays,1860081061,OB,UCB,Close,Close,,Barclays
567,,97_2491430289_Barclays,1860076092,OB,UCB,Close,Close,,Barclays
570,,80_2491430086_Barclays,1859922772,OB,UCB,Close,Close,,Barclays
577,,72_2491430086_Barclays,1859922844,OB,UCB,Close,Close,,Barclays
581,,82_2491430317_Barclays,1860081426,OB,UCB,Close,Close,,Barclays
585,,75_2491430315_Barclays,1860081164,OB,UCB,Close,Close,,Barclays
599,,86_2491430086_Barclays,1859922851,OB,UCB,Close,Close,,Barclays
604,,73_2491430315_Barclays,1860081141,OB,UCB,Close,Close,,Barclays
611,,98_2491430289_Barclays,1860076101,OB,UCB,Close,Close,,Barclays
622,,71_2491430318_Barclays,1860081520,OB,UCB,Close,Close,,Barclays
626,,73_2491430317_Barclays,1860081388,OB,UCB,Close,Close,,Barclays
630,,74_2491430317_Barclays,1860081421,OB,UCB,Close,Close,,Barclays
643,,77_2491400083_Barclays,1859772957,OB,UCB,Close,Close,,Barclays
647,,100_2491430314_Barclays,1860081090,OB,UCB,Close,Close,,Barclays
660,,82_2491430315_Barclays,1860081190,OB,UCB,Close,Close,,Barclays
663,,84_2491430317_Barclays,1860081442,OB,UCB,Close,Close,,Barclays
672,,77_2491400031_Barclays,1859744725,OB,UCB,Close,Close,,Barclays
686,,71_2491430086_Barclays,1859922819,OB,UCB,Close,Close,,Barclays
693,,82_2491430289_Barclays,1860076086,OB,UCB,Close,Close,,Barclays
697,,67_2491400083_Barclays,1859772982,OB,UCB,Close,Close,,Barclays
712,,71_2491400031_Barclays,1859744747,OB,UCB,Close,Close,,Barclays
724,,78_2491400083_Barclays,1859772973,OB,UCB,Close,Close,,Barclays
775,,81_2491430317_Barclays,1860081399,OB,UCB,Close,Close,,Barclays
781,,79_2491430317_Barclays,1860081394,OB,UCB,Close,Close,,Barclays
786,,103_2491430314_Barclays,1860081091,OB,UCB,Close,Close,,Barclays
789,,100_2491430289_Barclays,1860076114,OB,UCB,Close,Close,,Barclays
793,,88_2491430086_Barclays,1859922761,OB,UCB,Close,Close,,Barclays
835,,99_2491430289_Barclays,1860076108,OB,UCB,Close,Close,,Barclays
838,,72_2491430317_Barclays,1860081403,OB,UCB,Close,Close,,Barclays
847,,76_2491400031_Barclays,1859744700,OB,UCB,Close,Close,,Barclays
853,,85_2491430086_Barclays,1859922781,OB,UCB,Close,Close,,Barclays
856,,70_2491430315_Barclays,1860081197,OB,UCB,Close,Close,,Barclays
860,,85_2491430289_Barclays,1860076144,OB,UCB,Close,Close,,Barclays
887,,70_2491400031_Barclays,1859744710,OB,UCB,Close,Close,,Barclays
890,,83_2491430317_Barclays,1860081434,OB,UCB,Close,Close,,Barclays
892,,69_2491426018_Barclays,1859877560,OB,UCB,Close,Close,,Barclays
897,,73_2491400083_Barclays,1859772987,OB,UCB,Close,Close,,Barclays
902,,77_2491430067_Barclays,1859905405,OB,UCB,Close,Close,,Barclays
904,,77_2491430053_Barclays,1859897356,OB,UCB,Close,Close,,Barclays
905,,70_2491400083_Barclays,1859772969,OB,UCB,Close,Close,,Barclays
909,,72_2491426018_Barclays,1859877603,OB,UCB,Close,Close,,Barclays
914,,78_2491430067_Barclays,1859905418,OB,UCB,Close,Close,,Barclays
921,,78_2491430053_Barclays,1859897363,OB,UCB,Close,Close,,Barclays
989,,91_2491430318_Barclays,1860081563,OB,UCB,Close,Close,,Barclays
992,,68_2491426018_Barclays,1859877556,OB,UCB,Close,Close,,Barclays
1052,,93_2491430318_Barclays,1860081589,OB,UCB,Close,Close,,Barclays
1056,,92_2491430318_Barclays,1860081580,OB,UCB,Close,Close,,Barclays
1058,,75_2491430086_Barclays,1859922758,OB,UCB,Close,Close,,Barclays
1061,,78_2491430315_Barclays,1860081171,OB,UCB,Close,Close,,Barclays
1118,,75_2491400083_Barclays,1859772932,OB,UCB,Close,Close,,Barclays
1122,,71_2491400083_Barclays,1859772931,OB,UCB,Close,Close,,Barclays
1124,,76_2491400083_Barclays,1859772986,OB,UCB,Close,Close,,Barclays
1128,,72_2491400083_Barclays,1859772997,OB,UCB,Close,Close,,Barclays
1175,,75_2491430067_Barclays,1859905406,OB,UCB,Close,Close,,Barclays
1178,,75_2491430053_Barclays,1859897344,OB,UCB,Close,Close,,Barclays
1181,,70_2491430318_Barclays,1860081544,OB,UCB,Close,Close,,Barclays
1184,,69_2491430086_Barclays,1859922771,OB,UCB,Close,Close,,Barclays
1193,,94_2491430314_Barclays,1860081085,OB,UCB,Close,Close,,Barclays
1196,,70_2491430086_Barclays,1859922813,OB,UCB,Close,Close,,Barclays
1209,,69_2491430315_Barclays,1860081178,OB,UCB,Close,Close,,Barclays
1219,,70_2491430067_Barclays,1859905401,OB,UCB,Close,Close,,Barclays
1220,,71_2491430317_Barclays,1860081384,OB,UCB,Close,Close,,Barclays
1223,,70_2491430053_Barclays,1859897376,OB,UCB,Close,Close,,Barclays
1224,,76_2491430086_Barclays,1859922779,OB,UCB,Close,Close,,Barclays
1227,,84_2491430086_Barclays,1859922832,OB,UCB,Close,Close,,Barclays
1231,,82_2491430086_Barclays,1859922826,OB,UCB,Close,Close,,Barclays
1239,,79_2491430315_Barclays,1860081184,OB,UCB,Close,Close,,Barclays
1280,,67_2491430319_Barclays,1860081632,OB,UCB,Close,Close,,Barclays
1292,,68_2491430319_Barclays,1860081641,OB,UCB,Close,Close,,Barclays
1302,,69_2491430319_Barclays,1860081650,OB,UCB,Close,Close,,Barclays
1307,,70_2491430319_Barclays,1860081655,OB,UCB,Close,Close,,Barclays
1308,,73_2491426018_Barclays,1859877568,OB,UCB,Close,Close,,Barclays
1309,,89_2491430318_Barclays,1860081572,OB,UCB,Close,Close,,Barclays
1310,,74_2491400083_Barclays,1859773012,OB,UCB,Close,Close,,Barclays
1313,,74_2491430315_Barclays,1860081157,OB,UCB,Close,Close,,Barclays
1314,,80_2491430317_Barclays,1860081380,OB,UCB,Close,Close,,Barclays
1316,,71_2491430067_Barclays,1859905426,OB,UCB,Close,Close,,Barclays
1318,,71_2491430053_Barclays,1859897330,OB,UCB,Close,Close,,Barclays
1320,,68_2491400083_Barclays,1859772994,OB,UCB,Close,Close,,Barclays
1323,,81_2491430086_Barclays,1859922806,OB,UCB,Close,Close,,Barclays
1324,,83_2491430086_Barclays,1859922799,OB,UCB,Close,Close,,Barclays
