,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen
0,AA,239_2491450107_Goldman Sachs,1860133850,OB,OB,No-pair,proceeds,Goldman Sachs  booked the proceeds transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
1,AA,239_2491450021_Goldman Sachs,1860084763,OB,OB,No-pair,proceeds,Goldman Sachs  booked the proceeds transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2,AA,101_2491426012_Goldman Sachs,1859876890,OB,OB,No-pair,fees,Goldman Sachs  booked the fees transaction for SD 07-09-2021. Integrata yet to book.,Goldman Sachs 
3,AA,237_2491450107_Goldman Sachs,1860133833,OB,OB,No-pair,proceeds,Goldman Sachs  booked the proceeds transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
4,AA,624_2491400070_Goldman Sachs,1859770248,OB,OB,No-pair,proceeds,Goldman Sachs  booked the proceeds transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
5,29_2491430290_Integrata,BB,1860076502,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 07-19-2021. Goldman Sachs  yet to book.,Goldman Sachs 
6,AA,229_2491430290_Goldman Sachs,1860076421,OB,OB,No-pair,proceeds,Goldman Sachs  booked the proceeds transaction for SD 07-19-2021. Integrata yet to book.,Goldman Sachs 
7,AA,624_2491400077_Goldman Sachs,1859771657,OB,OB,No-pair,proceeds,Goldman Sachs  booked the proceeds transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
8,AA,179_2491430283_Goldman Sachs,1860075311,OB,OB,No-pair,proceeds trade settlement,Goldman Sachs  booked the proceeds trade settlement transaction for SD 07-20-2021. Integrata yet to book.,Goldman Sachs 
9,47_2491430302_Integrata,BB,1860079856,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 07-21-2021. Goldman Sachs  yet to book.,Goldman Sachs 
10,AA,138_2491400026_Goldman Sachs,1859744300,OB,OB,No-pair,proceeds,Goldman Sachs  booked the proceeds transaction for SD 06-14-2021. Integrata yet to book.,Goldman Sachs 
11,AA,78_2491430283_Goldman Sachs,1860075312,OB,OB,No-pair,fees,Goldman Sachs  booked the fees transaction for SD 07-15-2021. Integrata yet to book.,Goldman Sachs 
12,40_2491400070_Integrata,BB,1859770294,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 06-21-2021. Goldman Sachs  yet to book.,Goldman Sachs 
13,AA,138_2491380309_Goldman Sachs,1859622582,OB,OB,No-pair,proceeds,Goldman Sachs  booked the proceeds transaction for SD 06-14-2021. Integrata yet to book.,Goldman Sachs 
14,46_2491430302_Integrata,BB,1860079854,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 07-21-2021. Goldman Sachs  yet to book.,Goldman Sachs 
15,AA,98_2491426012_Goldman Sachs,1859876934,OB,OB,No-pair,fees,Goldman Sachs  booked the fees transaction for SD 07-09-2021. Integrata yet to book.,Goldman Sachs 
16,193_2491430290_Integrata,BB,1860076459,OB,OB,No-pair,proceeds trade settlement,Integrata booked the proceeds trade settlement transaction for SD 07-20-2021. Goldman Sachs  yet to book.,Goldman Sachs 
17,AA,96_2491426012_Goldman Sachs,1859876933,OB,OB,No-pair,fees,Goldman Sachs  booked the fees transaction for SD 07-09-2021. Integrata yet to book.,Goldman Sachs 
