,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen
3522,,153_2491276790_UBS,1837024427,OB,UCB,Close,Close,,UBS
3524,,160_2491320026_UBS,1892570253,OB,UCB,Close,Close,,UBS
3824,,65_2491359666_UBS,1949687862,OB,UCB,Close,Close,,UBS
3921,,66_2491359666_UBS,1949687859,OB,UCB,Close,Close,,UBS
4081,,36_249689496_UBS,1056490610,OB,UCB,Close,Close,,UBS
4191,,130_2491443683_UBS,2058656038,OB,UCB,Close,Close,,UBS
4270,,42_2491295022_UBS,1861263749,OB,UCB,Close,Close,,UBS
4370,,131_2491443683_UBS,2058656035,OB,UCB,Close,Close,,UBS
4372,,75_2491460178_UBS,2080354866,OB,UCB,Close,Close,,UBS
4394,,152_2491276790_UBS,1837024408,OB,UCB,Close,Close,,UBS
4484,,41_2491295022_UBS,1861263745,OB,UCB,Close,Close,,UBS
4515,,171_2491402505_UBS,2006721725,OB,UCB,Close,Close,,UBS
4622,,93_2491461821_UBS,2083295144,OB,UCB,Close,Close,,UBS
4711,,85_2491336929_UBS,1917135360,OB,UCB,Close,Close,,UBS
4716,,18_2491295022_UBS,1861263752,OB,UCB,Close,Close,,UBS
4740,,153_2491238233_UBS,1787477173,OB,UCB,Close,Close,,UBS
5049,,93_2491249589_UBS,1801892958,OB,UCB,Close,Close,,UBS
5056,,94_2491374410_UBS,1971118172,OB,UCB,Close,Close,,UBS
5074,,57_2491460178_UBS,2080354917,OB,UCB,Close,Close,,UBS
5084,,86_2491336929_UBS,1917135363,OB,UCB,Close,Close,,UBS
5093,,94_2491336929_UBS,1917135317,OB,UCB,Close,Close,,UBS
5157,,93_2491374410_UBS,1971118149,OB,UCB,Close,Close,,UBS
5176,,120_2491249589_UBS,1801892986,OB,UCB,Close,Close,,UBS
5246,,36_249650877_UBS,988693563,SDB,UCB,Close,Close,,UBS
5324,,43_249613663_UBS,924595505,SDB,UCB,Close,Close,,UBS
5954,,170_2491402505_UBS,2006721729,OB,UCB,Close,Close,,UBS
6026,,75_2491374410_UBS,1971118185,OB,UCB,Close,Close,,UBS
6104,,74_2491374410_UBS,1971118178,OB,UCB,Close,Close,,UBS
6131,,159_2491320026_UBS,1892570262,OB,UCB,Close,Close,,UBS
6206,,17_2491295022_UBS,1861263747,OB,UCB,Close,Close,,UBS
6306,,93_2491336929_UBS,1917135382,OB,UCB,Close,Close,,UBS
8201,,24_2491193418_UBS,1725179923,OB,UCB,Close,Close,,UBS
8202,,25_2491193418_UBS,1725179927,OB,UCB,Close,Close,,UBS
8221,,19_2491193418_UBS,1725179939,OB,UCB,Close,Close,,UBS
8222,,21_2491193418_UBS,1725179946,OB,UCB,Close,Close,,UBS
8224,,27_2491193418_UBS,1725179964,OB,UCB,Close,Close,,UBS
8226,,23_2491193418_UBS,1725179952,OB,UCB,Close,Close,,UBS
8228,,22_2491193418_UBS,1725179958,OB,UCB,Close,Close,,UBS
8230,,26_2491193418_UBS,1725179962,OB,UCB,Close,Close,,UBS
8233,,20_2491193418_UBS,1725179943,OB,UCB,Close,Close,,UBS
8235,,18_2491193418_UBS,1725179935,OB,UCB,Close,Close,,UBS
