,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
0,127_4551426007_Integrata,,1859875390,CNF,UCB,Close,Close,
1,148_4551426007_Integrata,,1859875391,CNF,UCB,Close,Close,
2,158_4551426007_Integrata,,1859875392,CNF,UCB,Close,Close,
3,156_4551426007_Integrata,,1859875393,CNF,UCB,Close,Close,
4,128_4551426007_Integrata,,1859875394,CNF,UCB,Close,Close,
5,157_4551426007_Integrata,,1859875395,CNF,UCB,Close,Close,
6,59_4551426007_Integrata,,1859875405,OB,UCB,Close,Close,
7,59_4551426004_Integrata,,1859874860,OB,UCB,Close,Close,
8,124_4551426007_Integrata,,1859875418,OB,UCB,Close,Close,
9,124_4551426004_Integrata,,1859874868,OB,UCB,Close,Close,
10,14_4551426007_Integrata,,1859875422,OB,UCB,Close,Close,
11,14_4551426004_Integrata,,1859874875,OB,UCB,Close,Close,
12,157_4551426004_Integrata,,1859874832,OB,UCB,Close,Close,
13,148_4551426004_Integrata,,1859874828,OB,UCB,Close,Close,
14,72_4551426004_Integrata,,1859874895,OB,UCB,Close,Close,
15,65_4551426007_Integrata,,1859875431,OB,UCB,Close,Close,
16,65_4551426004_Integrata,,1859874885,OB,UCB,Close,Close,
17,72_4551426007_Integrata,,1859875437,OB,UCB,Close,Close,
18,76_4551426007_Integrata,,1859875439,OB,UCB,Close,Close,
19,76_4551426004_Integrata,,1859874896,OB,UCB,Close,Close,
20,79_4551426007_Integrata,,1859875441,OB,UCB,Close,Close,
21,79_4551426004_Integrata,,1859874891,OB,UCB,Close,Close,
22,158_4551426004_Integrata,,1859874831,OB,UCB,Close,Close,
23,82_4551426007_Integrata,,1859875448,OB,UCB,Close,Close,
24,82_4551426004_Integrata,,1859874897,OB,UCB,Close,Close,
25,127_4551426004_Integrata,,1859874829,OB,UCB,Close,Close,
26,156_4551426004_Integrata,,1859874830,OB,UCB,Close,Close,
27,128_4551426004_Integrata,,1859874827,OB,UCB,Close,Close,
28,,1_4551426004_CACEIS,1859874847,OB,UCB,Close,Close,
29,,7_4551426004_CACEIS,1859874841,OB,UCB,Close,Close,
30,,7_4551426007_CACEIS,1859875408,OB,UCB,Close,Close,
31,,1_4551426007_CACEIS,1859875410,OB,UCB,Close,Close,
32,159_4551426007_Integrata,,1859875425,OB,UCB,Close,Close,
33,159_4551426004_Integrata,,1859874876,OB,UCB,Close,Close,
34,160_4551426007_Integrata,,1859875434,OB,UCB,Close,Close,
35,160_4551426004_Integrata,,1859874883,OB,UCB,Close,Close,
