,Side1_UniqueIds,Side0_UniqueIds,Predicted_Status,Predicted_action,PredictedCategory,PredictedComment,TaskID,SourceCombinationCode,BusinessDate,BreakID,Final_predicted_break,ML_flag,SetupID,probability_No_pair,probability_UMB,probability_UMR,probability_UMT,ReconSetupName,ClientShortCode,CreatedDate,ActionType,ActionTypeCode
0,,101_4551144082_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1659706999,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
1,,102_4551144082_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1659707002,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
2,,1_4551430044_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859896252,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
3,,1_4551430048_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859897095,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
4,,2_4551430044_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859896251,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
5,,2_4551430048_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859897094,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
6,,54_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876151,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
7,,117_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876156,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
8,,57_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876168,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
9,,131_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876164,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
10,,60_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876172,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
11,,114_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876163,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
12,,20_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876079,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
13,,70_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876177,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
14,,31_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876073,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
15,,147_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876072,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
16,,90_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876030,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
17,,63_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876174,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
18,,86_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876056,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
19,,51_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876032,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
20,,89_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876064,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
21,,109_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876143,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
22,,121_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876065,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
23,,50_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876029,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
24,,140_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876024,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
25,,80_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876138,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
26,,111_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876139,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
27,,126_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876025,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
28,,67_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876132,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
29,,49_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876027,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
30,,115_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876031,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
31,,105_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876033,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
32,,151_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876066,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
33,,153_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876059,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
34,,139_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876035,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
35,,136_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876028,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
36,,3_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876131,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
37,,135_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876136,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
38,,141_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876154,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
39,,4_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876150,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
40,,25_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876190,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
41,,28_4551426010_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859876133,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
42,,2_455922111_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1367056764,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
43,,6_455922111_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1367056765,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
44,,4_455922111_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1367056768,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
45,,5_455922111_Integrata,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1367056769,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
46,16_4551430044_CACEIS,,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859896253,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
47,16_4551430048_CACEIS,,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1859897096,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
48,2_4551318931_CACEIS,,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1890812360,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
49,8_4551267661_CACEIS,,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1824870500,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
50,26_455658450_CACEIS,,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1002374597,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
51,24_455658450_CACEIS,,UCB,Close,Close,,4551430077,-590882299,2021-07-14 00:00:00+00:00,1002374606,,ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
52,306_4551232906_CACEIS,"18_4551232906_Integrata,17_4551232906_Integrata",UMR,UMR,match,match,4551430077,-590882299,2021-07-14 00:00:00+00:00,1780156369,"1780156365,1780156374",ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,PAIR WITH COMMENT,4
53,"94_4551117124_CACEIS,93_4551117124_CACEIS",7_4551122535_Integrata,UMR,UMR,match,match,4551430077,-590882299,2021-07-14 00:00:00+00:00,1631194828,"1623224429,1623224424",ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,PAIR WITH COMMENT,4
54,2_4551398589_CACEIS,"5_4551394628_Integrata,3_4551394628_Integrata,7_4551394628_Integrata,4_4551394628_Integrata,6_4551394628_Integrata",UMR,UMR,match,match,4551430077,-590882299,2021-07-14 00:00:00+00:00,1997244526,"1997244524,1997244529,1997244527,1997244525,2002008738",ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,PAIR WITH COMMENT,4
55,34_4551201062_CACEIS,"47_4551201062_Integrata,46_4551201062_Integrata",UMR,UMR,match,match,4551430077,-590882299,2021-07-14 00:00:00+00:00,1734565912,"1734565910,1734565919",ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,PAIR WITH COMMENT,4
56,33_4551248485_CACEIS,"20_4551248485_Integrata,19_4551248485_Integrata",UMR,UMR,match,match,4551430077,-590882299,2021-07-14 00:00:00+00:00,1800039344,"1800039341,1800039361",ML,455,,,,,Lombard Caceis Cash Recon,Lombard,2021-07-24 00:00:00+00:00,PAIR WITH COMMENT,4
