,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
71,153_4551426010_Integrata,,1859876059,OB,UCB,Close,Close,
86,151_4551426010_Integrata,,1859876066,OB,UCB,Close,Close,
87,105_4551426010_Integrata,,1859876033,OB,UCB,Close,Close,
94,28_4551430295_Integrata,,1860078172,OB,UCB,Close,Close,
95,49_4551426010_Integrata,,1859876027,OB,UCB,Close,Close,
98,80_4551426010_Integrata,,1859876138,OB,UCB,Close,Close,
105,3_4551430295_Integrata,,1860078166,OB,UCB,Close,Close,
107,33_4551430295_Integrata,,1860078188,OB,UCB,Close,Close,
109,147_4551430295_Integrata,,1860078185,OB,UCB,Close,Close,
116,109_4551426010_Integrata,,1859876143,OB,UCB,Close,Close,
120,67_4551426010_Integrata,,1859876132,OB,UCB,Close,Close,
123,7_4551430295_Integrata,,1860078177,OB,UCB,Close,Close,
124,35_4551430295_Integrata,,1860078182,OB,UCB,Close,Close,
131,111_4551426010_Integrata,,1859876139,OB,UCB,Close,Close,
261,1_4551430048_Integrata,,1859897095,OB,UCB,Close,Close,
264,1_4551430044_Integrata,,1859896252,OB,UCB,Close,Close,
553,102_4551144082_Integrata,,1659707002,OB,UCB,Close,Close,
554,101_4551144082_Integrata,,1659706999,OB,UCB,Close,Close,
556,70_4551426010_Integrata,,1859876177,OB,UCB,Close,Close,
559,60_4551426010_Integrata,,1859876172,OB,UCB,Close,Close,
560,57_4551426010_Integrata,,1859876168,OB,UCB,Close,Close,
562,54_4551426010_Integrata,,1859876151,OB,UCB,Close,Close,
563,117_4551426010_Integrata,,1859876156,OB,UCB,Close,Close,
564,131_4551426010_Integrata,,1859876164,OB,UCB,Close,Close,
565,114_4551426010_Integrata,,1859876163,OB,UCB,Close,Close,
566,147_4551426010_Integrata,,1859876072,OB,UCB,Close,Close,
568,121_4551426010_Integrata,,1859876065,OB,UCB,Close,Close,
569,86_4551426010_Integrata,,1859876056,OB,UCB,Close,Close,
570,89_4551426010_Integrata,,1859876064,OB,UCB,Close,Close,
572,31_4551426010_Integrata,,1859876073,OB,UCB,Close,Close,
573,20_4551426010_Integrata,,1859876079,OB,UCB,Close,Close,
574,51_4551426010_Integrata,,1859876032,OB,UCB,Close,Close,
576,50_4551426010_Integrata,,1859876029,OB,UCB,Close,Close,
585,28_4551426010_Integrata,,1859876133,OB,UCB,Close,Close,
586,25_4551426010_Integrata,,1859876190,OB,UCB,Close,Close,
601,4_4551426010_Integrata,,1859876150,OB,UCB,Close,Close,
602,141_4551426010_Integrata,,1859876154,OB,UCB,Close,Close,
624,136_4551426010_Integrata,,1859876028,OB,UCB,Close,Close,
625,139_4551426010_Integrata,,1859876035,OB,UCB,Close,Close,
637,115_4551426010_Integrata,,1859876031,OB,UCB,Close,Close,
639,126_4551426010_Integrata,,1859876025,OB,UCB,Close,Close,
662,3_4551426010_Integrata,,1859876131,OB,UCB,Close,Close,
664,135_4551426010_Integrata,,1859876136,OB,UCB,Close,Close,
670,140_4551426010_Integrata,,1859876024,OB,UCB,Close,Close,
671,6_4551430295_Integrata,,1860078154,OB,UCB,Close,Close,
672,90_4551426010_Integrata,,1859876030,OB,UCB,Close,Close,
673,128_4551430295_Integrata,,1860078152,OB,UCB,Close,Close,
675,10_4551430295_Integrata,,1860078145,OB,UCB,Close,Close,
679,240_4551430295_Integrata,,1860078036,OB,UCB,Close,Close,
680,81_4551430295_Integrata,,1860078029,OB,UCB,Close,Close,
681,77_4551430295_Integrata,,1860077989,OB,UCB,Close,Close,
682,191_4551430295_Integrata,,1860077984,OB,UCB,Close,Close,
683,149_4551430295_Integrata,,1860078202,OB,UCB,Close,Close,
684,67_4551430295_Integrata,,1860078127,OB,UCB,Close,Close,
685,250_4551430295_Integrata,,1860078197,OB,UCB,Close,Close,
686,137_4551430295_Integrata,,1860078194,OB,UCB,Close,Close,
687,252_4551430295_Integrata,,1860078109,OB,UCB,Close,Close,
688,221_4551430295_Integrata,,1860078112,OB,UCB,Close,Close,
689,220_4551430295_Integrata,,1860077977,OB,UCB,Close,Close,
690,92_4551430295_Integrata,,1860077971,OB,UCB,Close,Close,
691,121_4551430295_Integrata,,1860077962,OB,UCB,Close,Close,
692,91_4551430295_Integrata,,1860077968,OB,UCB,Close,Close,
693,171_4551430295_Integrata,,1860078128,OB,UCB,Close,Close,
694,1_4551430295_Integrata,,1860078122,OB,UCB,Close,Close,
695,50_4551430295_Integrata,,1860078141,OB,UCB,Close,Close,
696,130_4551430295_Integrata,,1860078136,OB,UCB,Close,Close,
697,15_4551430295_Integrata,,1860078144,OB,UCB,Close,Close,
698,159_4551430295_Integrata,,1860078149,OB,UCB,Close,Close,
699,46_4551430295_Integrata,,1860078190,OB,UCB,Close,Close,
700,47_4551430295_Integrata,,1860078195,OB,UCB,Close,Close,
701,63_4551430295_Integrata,,1860078178,OB,UCB,Close,Close,
702,43_4551430295_Integrata,,1860078167,OB,UCB,Close,Close,
703,170_4551430295_Integrata,,1860078186,OB,UCB,Close,Close,
704,12_4551430295_Integrata,,1860078183,OB,UCB,Close,Close,
705,152_4551430295_Integrata,,1860078199,OB,UCB,Close,Close,
706,154_4551430295_Integrata,,1860078203,OB,UCB,Close,Close,
708,177_4551430295_Integrata,,1860078129,OB,UCB,Close,Close,
709,66_4551430295_Integrata,,1860078205,OB,UCB,Close,Close,
711,178_4551430295_Integrata,,1860078135,OB,UCB,Close,Close,
713,29_4551430295_Integrata,,1860078142,OB,UCB,Close,Close,
715,225_4551430295_Integrata,,1860078052,OB,UCB,Close,Close,
716,117_4551430295_Integrata,,1860077965,OB,UCB,Close,Close,
717,103_4551430295_Integrata,,1860078044,OB,UCB,Close,Close,
718,122_4551430295_Integrata,,1860077959,OB,UCB,Close,Close,
719,200_4551430295_Integrata,,1860078054,OB,UCB,Close,Close,
720,241_4551430295_Integrata,,1860078039,OB,UCB,Close,Close,
721,107_4551430295_Integrata,,1860078047,OB,UCB,Close,Close,
722,195_4551430295_Integrata,,1860078033,OB,UCB,Close,Close,
723,227_4551430295_Integrata,,1860078025,OB,UCB,Close,Close,
724,30_4551430295_Integrata,,1860078151,OB,UCB,Close,Close,
725,100_4551430295_Integrata,,1860078018,OB,UCB,Close,Close,
726,133_4551430295_Integrata,,1860078147,OB,UCB,Close,Close,
727,89_4551430295_Integrata,,1860077953,OB,UCB,Close,Close,
728,215_4551430295_Integrata,,1860077954,OB,UCB,Close,Close,
729,25_4551430295_Integrata,,1860078155,OB,UCB,Close,Close,
730,217_4551430295_Integrata,,1860078114,OB,UCB,Close,Close,
731,216_4551430295_Integrata,,1860078111,OB,UCB,Close,Close,
732,156_4551430295_Integrata,,1860078160,OB,UCB,Close,Close,
733,197_4551430295_Integrata,,1860077956,OB,UCB,Close,Close,
734,40_4551430295_Integrata,,1860078156,OB,UCB,Close,Close,
735,90_4551430295_Integrata,,1860077950,OB,UCB,Close,Close,
736,96_4551430295_Integrata,,1860077988,OB,UCB,Close,Close,
737,41_4551430295_Integrata,,1860078164,OB,UCB,Close,Close,
738,95_4551430295_Integrata,,1860077983,OB,UCB,Close,Close,
739,172_4551430295_Integrata,,1860078173,OB,UCB,Close,Close,
740,228_4551430295_Integrata,,1860078087,OB,UCB,Close,Close,
741,226_4551430295_Integrata,,1860078080,OB,UCB,Close,Close,
742,146_4551430295_Integrata,,1860078169,OB,UCB,Close,Close,
743,5_4551430295_Integrata,,1860078133,OB,UCB,Close,Close,
744,24_4551430295_Integrata,,1860078138,OB,UCB,Close,Close,
745,37_4551430295_Integrata,,1860078176,OB,UCB,Close,Close,
746,20_4551430295_Integrata,,1860078148,OB,UCB,Close,Close,
747,168_4551430295_Integrata,,1860078181,OB,UCB,Close,Close,
748,14_4551430295_Integrata,,1860078143,OB,UCB,Close,Close,
749,224_4551430295_Integrata,,1860078070,OB,UCB,Close,Close,
750,142_4551430295_Integrata,,1860078153,OB,UCB,Close,Close,
751,244_4551430295_Integrata,,1860078078,OB,UCB,Close,Close,
752,175_4551430295_Integrata,,1860078159,OB,UCB,Close,Close,
754,233_4551430295_Integrata,,1860077964,OB,UCB,Close,Close,
755,93_4551430295_Integrata,,1860077972,OB,UCB,Close,Close,
756,112_4551430295_Integrata,,1860077958,OB,UCB,Close,Close,
757,105_4551430295_Integrata,,1860078037,OB,UCB,Close,Close,
758,74_4551430295_Integrata,,1860077976,OB,UCB,Close,Close,
759,230_4551430295_Integrata,,1860078045,OB,UCB,Close,Close,
760,114_4551430295_Integrata,,1860077970,OB,UCB,Close,Close,
761,99_4551430295_Integrata,,1860078088,OB,UCB,Close,Close,
762,234_4551430295_Integrata,,1860077967,OB,UCB,Close,Close,
763,231_4551430295_Integrata,,1860078082,OB,UCB,Close,Close,
764,110_4551430295_Integrata,,1860077961,OB,UCB,Close,Close,
765,192_4551430295_Integrata,,1860078004,OB,UCB,Close,Close,
767,206_4551430295_Integrata,,1860078067,OB,UCB,Close,Close,
768,209_4551430295_Integrata,,1860078059,OB,UCB,Close,Close,
770,62_4551430295_Integrata,,1860078200,OB,UCB,Close,Close,
772,180_4551430295_Integrata,,1860078126,OB,UCB,Close,Close,
774,134_4551430295_Integrata,,1860078191,OB,UCB,Close,Close,
776,251_4551430295_Integrata,,1860078196,OB,UCB,Close,Close,
778,5_455922111_Integrata,,1367056769,OB,UCB,Close,Close,
780,4_455922111_Integrata,,1367056768,OB,UCB,Close,Close,
781,6_455922111_Integrata,,1367056765,OB,UCB,Close,Close,
783,2_455922111_Integrata,,1367056764,OB,UCB,Close,Close,
785,198_4551430295_Integrata,,1860078012,OB,UCB,Close,Close,
786,202_4551430295_Integrata,,1860077952,OB,UCB,Close,Close,
787,143_4551430295_Integrata,,1860078171,OB,UCB,Close,Close,
788,214_4551430295_Integrata,,1860077957,OB,UCB,Close,Close,
789,13_4551430295_Integrata,,1860078165,OB,UCB,Close,Close,
790,84_4551430295_Integrata,,1860078040,OB,UCB,Close,Close,
791,87_4551430295_Integrata,,1860078034,OB,UCB,Close,Close,
792,153_4551430295_Integrata,,1860078189,OB,UCB,Close,Close,
793,199_4551430295_Integrata,,1860078066,OB,UCB,Close,Close,
794,68_4551430295_Integrata,,1860078184,OB,UCB,Close,Close,
795,203_4551430295_Integrata,,1860078073,OB,UCB,Close,Close,
796,86_4551430295_Integrata,,1860078023,OB,UCB,Close,Close,
797,22_4551430295_Integrata,,1860078174,OB,UCB,Close,Close,
798,207_4551430295_Integrata,,1860078032,OB,UCB,Close,Close,
799,196_4551430295_Integrata,,1860077981,OB,UCB,Close,Close,
800,27_4551430295_Integrata,,1860078180,OB,UCB,Close,Close,
801,115_4551430295_Integrata,,1860077974,OB,UCB,Close,Close,
802,131_4551430295_Integrata,,1860078123,OB,UCB,Close,Close,
803,31_4551430295_Integrata,,1860078150,OB,UCB,Close,Close,
804,8_4551430295_Integrata,,1860078146,OB,UCB,Close,Close,
805,54_4551430295_Integrata,,1860078130,OB,UCB,Close,Close,
806,138_4551430295_Integrata,,1860078134,OB,UCB,Close,Close,
807,57_4551430295_Integrata,,1860078132,OB,UCB,Close,Close,
808,160_4551430295_Integrata,,1860078140,OB,UCB,Close,Close,
809,129_4551430295_Integrata,,1860078125,OB,UCB,Close,Close,
810,59_4551430295_Integrata,,1860078139,OB,UCB,Close,Close,
811,44_4551430295_Integrata,,1860078121,OB,UCB,Close,Close,
812,72_4551430295_Integrata,,1860077987,OB,UCB,Close,Close,
813,85_4551430295_Integrata,,1860078008,OB,UCB,Close,Close,
814,187_4551430295_Integrata,,1860078000,OB,UCB,Close,Close,
815,194_4551430295_Integrata,,1860078010,OB,UCB,Close,Close,
