,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,first_non_null_breakid_in_breakid_columns
0,101_4551144082_Integrata,,1659706999,OB,UCB,Close,Close,,1659706999
1,5_455922111_Integrata,,1367056769,OB,UCB,Close,Close,,1367056769
2,4_455922111_Integrata,,1367056768,OB,UCB,Close,Close,,1367056768
3,2_455922111_Integrata,,1367056764,OB,UCB,Close,Close,,1367056764
4,102_4551144082_Integrata,,1659707002,OB,UCB,Close,Close,,1659707002
5,,8_4551267661_CACEIS,1824870500,OB,UCB,Close,Close,,1824870500
6,6_455922111_Integrata,,1367056765,OB,UCB,Close,Close,,1367056765
7,,26_455658450_CACEIS,1002374597,OB,UCB,Close,Close,,1002374597
8,,2_4551318931_CACEIS,1890812360,OB,UCB,Close,Close,,1890812360
9,,24_455658450_CACEIS,1002374606,OB,UCB,Close,Close,,1002374606
10,"17_4551232906_Integrata,18_4551232906_Integrata",306_4551232906_CACEIS,"1780156365,1780156369,1780156374","['OB', 'OB', 'OB']",UMR,UMR,match,match,1780156365
11,7_4551122535_Integrata,"94_4551117124_CACEIS,93_4551117124_CACEIS","1631194828,1623224429,1623224424","['OB', 'OB', 'OB']",UMR,UMR,match,match,1631194828
12,"7_4551394628_Integrata,4_4551394628_Integrata,6_4551394628_Integrata,3_4551394628_Integrata,5_4551394628_Integrata",2_4551398589_CACEIS,"1997244529,1997244527,1997244525,1997244524,1997244526,2002008738","['OB', 'OB', 'OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,1997244529
13,"46_4551201062_Integrata,47_4551201062_Integrata",34_4551201062_CACEIS,"1734565910,1734565912,1734565919","['OB', 'OB', 'OB']",UMR,UMR,match,match,1734565910
14,"20_4551248485_Integrata,19_4551248485_Integrata",33_4551248485_CACEIS,"1800039344,1800039341,1800039361","['OB', 'OB', 'OB']",UMR,UMR,match,match,1800039344
15,7_4551203153_Integrata,,1737813339,OB,UCB,Close,Close,,1737813339
16,6_4551203153_Integrata,,1737813326,OB,UCB,Close,Close,,1737813326
17,10_4551203153_Integrata,,1737813332,OB,UCB,Close,Close,,1737813332
18,3_4551203153_Integrata,,1737813331,OB,UCB,Close,Close,,1737813331
19,1_4551203153_Integrata,,1737813324,OB,UCB,Close,Close,,1737813324
20,9_4551203153_Integrata,,1737813341,OB,UCB,Close,Close,,1737813341
21,,19_4551285256_CACEIS,1847792958,OB,UCB,Close,Close,,1847792958
22,,26_4551285256_CACEIS,1847792963,OB,UCB,Close,Close,,1847792963
23,,24_4551157661_CACEIS,1677770272,OB,UCB,Close,Close,,1677770272
24,,13_4551402499_CACEIS,2006719926,OB,UCB,Close,Close,,2006719926
25,,22_4551402499_CACEIS,2006719923,OB,UCB,Close,Close,,2006719923
26,,21_4551402499_CACEIS,2006719920,OB,UCB,Close,Close,,2006719920
27,,17_4551279353_CACEIS,1839901571,OB,UCB,Close,Close,,1839901571
28,,16_4551279353_CACEIS,1839901569,OB,UCB,Close,Close,,1839901569
29,,15_455914788_CACEIS,1356802615,OB,UCB,Close,Close,,1356802615
30,,9_4551402499_CACEIS,2006719922,OB,UCB,Close,Close,,2006719922
31,,17_4551285256_CACEIS,1847792954,OB,UCB,Close,Close,,1847792954
32,,24_4551402499_CACEIS,2006719929,OB,UCB,Close,Close,,2006719929
33,,20_4551402499_CACEIS,2006719928,OB,UCB,Close,Close,,2006719928
34,,6_4551157661_CACEIS,1677770259,OB,UCB,Close,Close,,1677770259
35,,25_4551285256_CACEIS,1847792960,OB,UCB,Close,Close,,1847792960
36,,14_455914788_CACEIS,1356802610,OB,UCB,Close,Close,,1356802610
37,1_4551250853_Integrata,,1802932488,OB,OB,No-pair,wire transfer,Integrata booked the Net Sub/Red for SD 02-25-2021.Caceis yet to book.,1802932488
38,16_4551237030_Integrata,,1785359565,OB,OB,No-pair,redemption,Integrata booked the redemption for SD 02-18-2021.Caceis yet to book.,1785359565
39,3_455797794_Integrata,,1203323434,OB,OB,No-pair,wire transfer,Integrata booked the Net Sub/Red for SD 03-26-2020.Caceis yet to book.,1203323434
40,10_4551331846_Integrata,,1908172323,OB,OB,No-pair,monthend interest,Integrata booked the monthend interest for SD 04-01-2021.Caceis yet to book.,1908172323
41,,85_455404958_CACEIS,585162387,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 05-15-2019. Integrata yet to book,585162387
42,,41_455663909_CACEIS,1011570661,OB,OB,No-pair,fees,Caceis booked the fees for SD 12-11-2019. Integrata yet to book,1011570661
43,,109_455718167_CACEIS,1096511757,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 01-24-2020. Integrata yet to book,1096511757
44,,30_455927788_CACEIS,1374347981,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 07-06-2020. Integrata yet to book,1374347981
45,,242_4551436806_CACEIS,2049885932,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 07-15-2021. Integrata yet to book,2049885932
46,,26_455753887_CACEIS,1143364804,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 02-21-2020. Integrata yet to book,1143364804
47,57_4551085502_Integrata,,1581818099,OB,OB,No-pair,wire transfer,Integrata booked the wire transfer for SD 10-27-2020.Caceis yet to book.,1581818099
48,42_4551085502_Integrata,,1581818088,OB,OB,No-pair,wire transfer,Integrata booked the wire transfer for SD 10-27-2020.Caceis yet to book.,1581818088
