,Custodian Account,Currency,Ticker1,Cash Standing,len_cash,Fund,Pos_security,Pos_Desc,pos_qnt_diff,Local Price Diff,Local MV Diff
0,NEFU_FIFTY_SEVENCAY_00799777,CHF,smu1,1186.2099999999998,2,FIFTY_SEVENCAY,Futures,SWISS MKT IX FUTR SEP21,0.0,0.0,1810.0
1,NEFU_FIFTY_SEVENCAY_00799778,CHF,smu1,-115.95999999999998,5,FIFTY_SEVENCAY,Futures,SWISS MKT IX FUTR SEP21,0.0,0.0,280.0
2,NEFU_FIFTY_SEVEN_00799760,AUD,iru2,6524.6900000000005,7,FIFTY_SEVEN,Futures,90-DAY BANK BILL  Sep22,0.0,0.0,-763.22
3,NEFU_FIFTY_SEVEN_00799760,AUD,ltyu1,9.65,1,FIFTY_SEVEN,Futures,AUST 20Y BOND FUT SEP21,0.0,0.0,0.01
4,NEFU_FIFTY_SEVEN_00799760,AUD,xmu1,36.25,3,FIFTY_SEVEN,Futures,AUST 10Y BOND FUT SEP21,0.0,0.0,9.56
5,NEFU_FIFTY_SEVEN_00799760,AUD,ymu1,170.35999999999999,4,FIFTY_SEVEN,Futures,AUST 3YR BOND FUT SEP21,479.0,99.71,-12809.86
6,NEFU_FIFTY_SEVEN_00799760,AUD,ymu1,170.35999999999999,4,FIFTY_SEVEN,Futures,AUST 3YR BOND FUT Sep21,-479.0,-99.71,13323.53
7,NEFU_FIFTY_SEVEN_00799760,CAD,cvu1,-9.61,2,,,,,,
8,NEFU_FIFTY_SEVEN_00799760,JPY,nou1,-117.64,4,FIFTY_SEVEN,Futures,NIKKEI 225 MINI   Sep21,0.0,0.0,9500.0
9,NEFU_FIFTY_SEVEN_00799760,MYR,ikq1,82.80000000000001,12,FIFTY_SEVEN,Futures,FTSE KLCI FUTURE  Aug21,0.0,0.0,500.0
10,NEFU_FIFTY_SEVEN_00799760,NZD,zbm2,67387.25,27,FIFTY_SEVEN,Futures,NEW ZEAL 3MO BILL JUN22,-84.0,0.0,2869.53
11,NEFU_FIFTY_SEVEN_00799760,THB,,24690.58,1,,,,,,
12,NEFU_FIFTY_SEVEN_00799760,THB,bcu1,-219.88,5,FIFTY_SEVEN,Futures,SET50 FUTURES     Sep21,0.0,0.0,1680.0
13,NEFU_FIFTY_SEVEN_00799760,USD,,-25000.0,1,,,,,,
14,NEFU_FIFTY_SEVEN_00799760,USD,adu1,-3641.959999999999,20,,,,,,
15,NEFU_FIFTY_SEVEN_00799760,USD,adu1 curncy,-15.640000000000002,3,FIFTY_SEVEN,Futures,AUDUSD CRNCY FUT SEP21,0.0,73.2154,1955.0
16,NEFU_FIFTY_SEVEN_00799760,USD,boz1,-6255.180000933698,49,FIFTY_SEVEN,Futures,SOYBEAN OIL FUTR  Dec21,0.0,61.182,186.0
17,NEFU_FIFTY_SEVEN_00799760,USD,ecu1,2968.8,4,,,,,,
18,NEFU_FIFTY_SEVEN_00799760,USD,enq1,1788.8600000000001,3,,,,,,
19,NEFU_FIFTY_SEVEN_00799760,USD,fvu1,194.78999999999996,2,FIFTY_SEVEN,Futures,US 5YR NOTE (CBT) SEP21,0.0,3.75e-05,195.29
20,NEFU_FIFTY_SEVEN_00799760,USD,gcz1,-30.8,1,,,,,,
21,NEFU_FIFTY_SEVEN_00799760,USD,hou1,-2902.2000000000003,2,FIFTY_SEVEN,Futures,NY HARB ULSD FUT SEP21,0.0,210.5136,2902.2
22,NEFU_FIFTY_SEVEN_00799760,USD,lcv1,-12.14,1,FIFTY_SEVEN,Futures,LIVE CATTLE FUTR  Oct21,0.0,126.8685,0.0
23,NEFU_FIFTY_SEVEN_00799760,USD,lcz1,-13.94,1,,,,,,
24,NEFU_FIFTY_SEVEN_00799760,USD,lhq1,-8.19,1,,,,,,
25,NEFU_FIFTY_SEVEN_00799760,USD,lhv1,-19.3,2,FIFTY_SEVEN,Futures,LEAN HOGS FUTURE  Oct21,0.0,90.4612,0.0
26,NEFU_FIFTY_SEVEN_00799760,USD,lhz1,-5.74,1,,,,,,
27,NEFU_FIFTY_SEVEN_00799760,USD,ngu1 21,-3.28,1,FIFTY_SEVEN,Futures,SEP 21 NATURAL GAS,4.0,4.027,540.0
28,NEFU_FIFTY_SEVEN_00799760,USD,ngu21,3.28,1,FIFTY_SEVEN,Futures,NATURAL GAS FUTR  Sep21,-4.0,-4.027,-540.0
29,NEFU_FIFTY_SEVEN_00799760,USD,siu1,-5905.4,5,,,,,,
30,NEFU_FIFTY_SEVEN_00799760,USD,smn1,771.46,1,,,,,,
31,NEFU_FIFTY_SEVEN_00799760,USD,smz1,-766.2199999999999,5,FIFTY_SEVEN,Futures,SOYBEAN MEAL FUTR DEC21,0.0,0.0,250.0
32,NEFU_FIFTY_SEVEN_00799760,USD,usu1,-2686.48,1,FIFTY_SEVEN,Futures,US LONG BOND(CBT) SEP21,0.0,0.0,0.0
33,NEFU_FIFTY_SEVEN_00799760,USD,w u1,2.842170943040401e-14,8,FIFTY_SEVEN,Futures,WHEAT FUTURE(CBT) SEP21,0.0,0.0,0.0
34,NEFU_FIFTY_SEVEN_00799760,USD,xbu1,-10008.7,15,FIFTY_SEVEN,Futures,GASOLINE RBOB FUT SEP21,0.0,224.8092,289.8
35,NEFU_FIFTY_SEVEN_00799760,USD,xbx1,-1335.6000000000001,4,,,,,,
36,NEFU_FIFTY_SEVEN_00799762,AUD,xpu1,4393.140000000003,17,FIFTY_SEVEN,Futures,SPI 200 FUTURES   Sep21,0.0,0.0,0.0
37,NEFU_FIFTY_SEVEN_00799762,EUR,ibq1,-37878.36,24,FIFTY_SEVEN,Futures,IBEX 35 INDX FUTR AUG21,0.0,0.0,16425.0
38,NEFU_FIFTY_SEVEN_00799762,EUR,stu1,-4174.74,6,FIFTY_SEVEN,Futures,FTSE/MIB IDX FUT  Sep21,0.0,0.0,0.0
39,NEFU_FIFTY_SEVEN_00799762,GBP,z u1,-5946.76,4,FIFTY_SEVEN,Futures,FTSE 100 IDX FUT  Sep21,0.0,0.0,0.0
40,NEFU_FIFTY_SEVEN_00799762,HKD,hcq1,-4608.399999999998,9,FIFTY_SEVEN,Futures,H-SHARES IDX FUT AUG21,0.0,0.0,159500.0
41,NEFU_FIFTY_SEVEN_00799762,JPY,niu1,-8053.490000000015,37,FIFTY_SEVEN,Futures,NIKKEI 225  (SGX) Sep21,11.0,-27294.3,577500.0
42,NEFU_FIFTY_SEVEN_00799762,SGD,qzq1,-5911.600000000002,5,FIFTY_SEVEN,Futures,MSCI SING IX ETS  Aug21,0.0,0.0,8025.0
43,NEFU_FIFTY_SEVEN_00799762,THB,,896209.92,2,,,,,,
44,NEFU_FIFTY_SEVEN_00799762,THB,bcu1,-1082.62,2,FIFTY_SEVEN,Futures,SET50 FUTURES     Sep21,0.0,0.0,0.0
45,NEFU_FIFTY_SEVEN_00799762,THB,thb,-450539.58,1,,,,,,
46,NEFU_FIFTY_SEVEN_00799762,USD,,-905523.7,2,,,,,,
47,NEFU_FIFTY_SEVEN_00799762,USD,boz1,-5610.0,6,FIFTY_SEVEN,Futures,SOYBEAN OIL FUTR  Dec21,0.0,61.182,72.0
48,NEFU_FIFTY_SEVEN_00799762,USD,clu1,-1450.0,6,FIFTY_SEVEN,Futures,WTI CRUDE FUTURE  Sep21,0.0,0.0,0.0
49,NEFU_FIFTY_SEVEN_00799762,USD,clv1,-240.0,2,FIFTY_SEVEN,Futures,WTI CRUDE FUTURE  Oct21,0.0,0.0,0.0
50,NEFU_FIFTY_SEVEN_00799762,USD,cov1,-99.83,4,FIFTY_SEVEN,Futures,BRENT CRUDE FUTR  Oct21,0.0,0.0,0.0
51,NEFU_FIFTY_SEVEN_00799762,USD,cox1,-168.20000000000005,28,,,,,,
52,NEFU_FIFTY_SEVEN_00799762,USD,coz1,-112.78000000000006,12,,,,,,
53,NEFU_FIFTY_SEVEN_00799762,USD,esu1,-3312.499999999999,36,FIFTY_SEVEN,Futures,S&P500 EMINI FUT  Sep21,0.0,0.0,3962.5
54,NEFU_FIFTY_SEVEN_00799762,USD,hou1,-3758.8799999999997,10,FIFTY_SEVEN,Futures,NY HARB ULSD FUT SEP21,0.0,210.5136,0.0
55,NEFU_FIFTY_SEVEN_00799762,USD,nqu1,-32.76,2,FIFTY_SEVEN,Futures,NASDAQ 100 E-MINI SEP21,0.0,0.0,90.0
56,NEFU_FIFTY_SEVEN_00799762,USD,qsu1,-674.97,2,,,,,,
