,Custodian Account,Currency,Ticker1,Cash Standing,len_cash
0,NEFU_FIFTY_SEVENCAY_00799777,CHF,smu1,1186.2099999999998,2
1,NEFU_FIFTY_SEVENCAY_00799778,CHF,smu1,-115.95999999999998,5
2,NEFU_FIFTY_SEVEN_00799760,AUD,iru2,6524.6900000000005,7
3,NEFU_FIFTY_SEVEN_00799760,AUD,ltyu1,9.65,1
4,NEFU_FIFTY_SEVEN_00799760,AUD,xmu1,36.25,3
5,NEFU_FIFTY_SEVEN_00799760,AUD,ymu1,170.35999999999999,4
6,NEFU_FIFTY_SEVEN_00799760,CAD,cvu1,-9.61,2
7,NEFU_FIFTY_SEVEN_00799760,JPY,nou1,-117.64,4
8,NEFU_FIFTY_SEVEN_00799760,MYR,ikq1,82.80000000000001,12
9,NEFU_FIFTY_SEVEN_00799760,NZD,zbm2,67387.25,27
10,NEFU_FIFTY_SEVEN_00799760,THB,,24690.58,1
11,NEFU_FIFTY_SEVEN_00799760,THB,bcu1,-219.88,5
12,NEFU_FIFTY_SEVEN_00799760,USD,,-25000.0,1
13,NEFU_FIFTY_SEVEN_00799760,USD,adu1,-3641.959999999999,20
14,NEFU_FIFTY_SEVEN_00799760,USD,adu1 curncy,-15.640000000000002,3
15,NEFU_FIFTY_SEVEN_00799760,USD,boz1,-6255.180000933698,49
16,NEFU_FIFTY_SEVEN_00799760,USD,ecu1,2968.8,4
17,NEFU_FIFTY_SEVEN_00799760,USD,enq1,1788.8600000000001,3
18,NEFU_FIFTY_SEVEN_00799760,USD,fvu1,194.78999999999996,2
19,NEFU_FIFTY_SEVEN_00799760,USD,gcz1,-30.8,1
20,NEFU_FIFTY_SEVEN_00799760,USD,hou1,-2902.2000000000003,2
21,NEFU_FIFTY_SEVEN_00799760,USD,lcv1,-12.14,1
22,NEFU_FIFTY_SEVEN_00799760,USD,lcz1,-13.94,1
23,NEFU_FIFTY_SEVEN_00799760,USD,lhq1,-8.19,1
24,NEFU_FIFTY_SEVEN_00799760,USD,lhv1,-19.3,2
25,NEFU_FIFTY_SEVEN_00799760,USD,lhz1,-5.74,1
26,NEFU_FIFTY_SEVEN_00799760,USD,ngu1 21,-3.28,1
27,NEFU_FIFTY_SEVEN_00799760,USD,ngu21,3.28,1
28,NEFU_FIFTY_SEVEN_00799760,USD,siu1,-5905.4,5
29,NEFU_FIFTY_SEVEN_00799760,USD,smn1,771.46,1
30,NEFU_FIFTY_SEVEN_00799760,USD,smz1,-766.2199999999999,5
31,NEFU_FIFTY_SEVEN_00799760,USD,usu1,-2686.48,1
32,NEFU_FIFTY_SEVEN_00799760,USD,w u1,2.842170943040401e-14,8
33,NEFU_FIFTY_SEVEN_00799760,USD,xbu1,-10008.7,15
34,NEFU_FIFTY_SEVEN_00799760,USD,xbx1,-1335.6000000000001,4
35,NEFU_FIFTY_SEVEN_00799762,AUD,xpu1,4393.140000000003,17
36,NEFU_FIFTY_SEVEN_00799762,EUR,ibq1,-37878.36,24
37,NEFU_FIFTY_SEVEN_00799762,EUR,stu1,-4174.74,6
38,NEFU_FIFTY_SEVEN_00799762,GBP,z u1,-5946.76,4
39,NEFU_FIFTY_SEVEN_00799762,HKD,hcq1,-4608.399999999998,9
40,NEFU_FIFTY_SEVEN_00799762,JPY,niu1,-8053.490000000015,37
41,NEFU_FIFTY_SEVEN_00799762,SGD,qzq1,-5911.600000000002,5
42,NEFU_FIFTY_SEVEN_00799762,THB,,896209.92,2
43,NEFU_FIFTY_SEVEN_00799762,THB,bcu1,-1082.62,2
44,NEFU_FIFTY_SEVEN_00799762,THB,thb,-450539.58,1
45,NEFU_FIFTY_SEVEN_00799762,USD,,-905523.7,2
46,NEFU_FIFTY_SEVEN_00799762,USD,boz1,-5610.0,6
47,NEFU_FIFTY_SEVEN_00799762,USD,clu1,-1450.0,6
48,NEFU_FIFTY_SEVEN_00799762,USD,clv1,-240.0,2
49,NEFU_FIFTY_SEVEN_00799762,USD,cov1,-99.83,4
50,NEFU_FIFTY_SEVEN_00799762,USD,cox1,-168.20000000000005,28
51,NEFU_FIFTY_SEVEN_00799762,USD,coz1,-112.78000000000006,12
52,NEFU_FIFTY_SEVEN_00799762,USD,esu1,-3312.499999999999,36
53,NEFU_FIFTY_SEVEN_00799762,USD,hou1,-3758.8799999999997,10
54,NEFU_FIFTY_SEVEN_00799762,USD,nqu1,-32.76,2
55,NEFU_FIFTY_SEVEN_00799762,USD,qsu1,-674.97,2
56,NEFU_FIFTY_SEVEN_00799762,USD,s x1,-1712.5,10
57,NEFU_FIFTY_SEVEN_00799762,USD,thb,452761.85,1
58,NEFU_FIFTY_SEVEN_00799762,USD,twtn1,49.54999999999592,18
59,NEFU_FIFTY_SEVEN_00799762,USD,tyu1,-218.8,5
60,NEFU_FIFTY_SEVEN_00799762,USD,xbu1,-294.0,2
61,NEFU_FIFTY_SEVEN_00799764,USD,rtym1,8947.5,2
62,NEFU_FIFTY_SEVEN_00799764,USD,rtyu1,-276.93,6
63,NEFU_FIFTY_SEVEN_00799764,USD,usu1,-145.95,2
64,NEFU_FIFTY_SEVEN_00799769,CAD,ptu1,-63.86,4
65,NEFU_FIFTY_SEVEN_00799769,EUR,cfq1,1646.4100000000003,20
66,NEFU_FIFTY_SEVEN_00799769,EUR,eoq1,-505.88,2
67,NEFU_FIFTY_SEVEN_00799769,EUR,ibq1,105.88,2
68,NEFU_FIFTY_SEVEN_00799769,EUR,oatu1,-470.09,1
69,NEFU_FIFTY_SEVEN_00799769,EUR,stu1,-2737.6600000000035,20
70,NEFU_FIFTY_SEVEN_00799769,EUR,vgu1,-612.02,2
71,NEFU_FIFTY_SEVEN_00799769,GBP,g u1,-1033.91,3
72,NEFU_FIFTY_SEVEN_00799769,HKD,hin1,4.3299999999994725,18
73,NEFU_FIFTY_SEVEN_00799769,JPY,tpu1,-1478.8599999999997,18
74,NEFU_FIFTY_SEVEN_00799769,SGD,qzq1,29.459999999999997,2
