,Custodian Account,Currency,Ticker1,zero_list,diff_len,remove_mark
0,NEFU_FIFTY_SEVENCAY_00799777,CHF,smu1,[],2,0
1,NEFU_FIFTY_SEVENCAY_00799778,CHF,smu1,[],3,0
2,NEFU_FIFTY_SEVEN_00799760,AUD,iru2,[],7,0
3,NEFU_FIFTY_SEVEN_00799760,AUD,ltyu1,[],1,0
4,NEFU_FIFTY_SEVEN_00799760,AUD,xmu1,[],3,0
5,NEFU_FIFTY_SEVEN_00799760,AUD,ymu1,[],4,0
6,NEFU_FIFTY_SEVEN_00799760,AUD,ymu1,[],4,0
7,NEFU_FIFTY_SEVEN_00799760,CAD,cvu1,[],2,0
8,NEFU_FIFTY_SEVEN_00799760,JPY,nou1,[],3,0
9,NEFU_FIFTY_SEVEN_00799760,MYR,ikq1,[],8,0
10,NEFU_FIFTY_SEVEN_00799760,NZD,zbm2,"[1.35, 2436.13, 517.75, 2832.62, 17.23, -878.72, 1555.8, 7196.2, 2592.47, 7589.48, 552.14, 6850.46, 1742.34, 1103.69, 3537.05, 724.6, 3157.73, 2519.12, 1243.67, 862.42, 4448.11, 1641.64, 3053.98, 5619.27, 6774.44]",0,0
11,NEFU_FIFTY_SEVEN_00799760,THB,,[],1,0
12,NEFU_FIFTY_SEVEN_00799760,THB,bcu1,[],3,0
13,NEFU_FIFTY_SEVEN_00799760,USD,,[],1,0
14,NEFU_FIFTY_SEVEN_00799760,USD,adu1,"[7424.54, 540.72, -6844.56, 2503.8, 590.44, 19539.08, -8.94, 995.12, -23324.16, -1416.04]",9,1
15,NEFU_FIFTY_SEVEN_00799760,USD,adu1 curncy,[],2,0
16,NEFU_FIFTY_SEVEN_00799760,USD,boz1,"[-33356664.0, -18948600.0, -37196280.0, 371211.45, -2168.22, 13.26, 7859214.0, -2758341230.25, 329497.89, 1979802.0, 25.26, -698595.18, 19138086.0, -190164.99, 685.26, -98485200.0, -76.11, -78601.89, 70432956.0, -196.11, 1213.26, -65.37, 1345.89, 2113.89, -988861.98, -69735600.0, -9.45, -8.82, -38.43, 33026398.11, -34.02, 36828000.0, -24480.03, 99470052.0, -7781400.0, -1.26, 2758345326.0, -17.01, -15.75, -11.97, -3465.57, -1960200.0, -5.37, -1.89]",0,0
17,NEFU_FIFTY_SEVEN_00799760,USD,ecu1,[],2,0
18,NEFU_FIFTY_SEVEN_00799760,USD,enq1,[],3,0
19,NEFU_FIFTY_SEVEN_00799760,USD,fvu1,[],2,0
20,NEFU_FIFTY_SEVEN_00799760,USD,gcz1,[],1,0
21,NEFU_FIFTY_SEVEN_00799760,USD,hou1,[],2,0
22,NEFU_FIFTY_SEVEN_00799760,USD,lcv1,[],1,0
23,NEFU_FIFTY_SEVEN_00799760,USD,lcz1,[],1,0
24,NEFU_FIFTY_SEVEN_00799760,USD,lhq1,[],1,0
25,NEFU_FIFTY_SEVEN_00799760,USD,lhv1,[],2,0
26,NEFU_FIFTY_SEVEN_00799760,USD,lhz1,[],1,0
27,NEFU_FIFTY_SEVEN_00799760,USD,ngu1 21,[],1,0
28,NEFU_FIFTY_SEVEN_00799760,USD,ngu21,[],1,0
29,NEFU_FIFTY_SEVEN_00799760,USD,siu1,[],3,0
30,NEFU_FIFTY_SEVEN_00799760,USD,smn1,[],1,0
31,NEFU_FIFTY_SEVEN_00799760,USD,smz1,[],5,0
32,NEFU_FIFTY_SEVEN_00799760,USD,usu1,[],1,0
33,NEFU_FIFTY_SEVEN_00799760,USD,xbu1,"[-2824.96, -1822.8, -1948.8, 344.4, 243.6, 6047.1, -36.9, -1.64]",6,1
34,NEFU_FIFTY_SEVEN_00799760,USD,xbx1,[],2,0
35,NEFU_FIFTY_SEVEN_00799762,AUD,xpu1,"[-38.88, -30.36, -6038.74, 71378.6, 2168.64, 24.3, 3866.86, -71329.99]",8,0
36,NEFU_FIFTY_SEVEN_00799762,EUR,ibq1,"[-10747.57, 3335.3, 1418.97, -99.0, -13923.98, 2209.19, -4182.44, -212.14, -211.77, 3123.16, -1356.51, -9664.11, -436.65, 5839.35, -40.66, -9640.54, 2397.76, 1248.67, -22.98, -10.61, -387.15]",0,0
37,NEFU_FIFTY_SEVEN_00799762,EUR,stu1,[],4,0
38,NEFU_FIFTY_SEVEN_00799762,GBP,z u1,[],2,0
39,NEFU_FIFTY_SEVEN_00799762,HKD,hcq1,[],9,0
40,NEFU_FIFTY_SEVEN_00799762,JPY,niu1,"[5505.7, 773.72, 645.7, 902.29, 86156.2, 13.68, -107.27, -5610.74, -49635.15, 17055.15, 31.45, 135583.38, -38104.51, -71637.54, 15536.82, -3276.94, 59.79, -61.18, -183.64, -45.21, -42.73, -17826.22, 229727.12, 95.18, 101.19, -154.74, -205464.33, 49128.1, -22.23, -3606.27, 19820.93, -54160.53, -16.82, -100743.97, -18437.37, -131.38]",0,0
41,NEFU_FIFTY_SEVEN_00799762,SGD,qzq1,[],5,0
42,NEFU_FIFTY_SEVEN_00799762,THB,,[],1,0
43,NEFU_FIFTY_SEVEN_00799762,THB,bcu1,[],2,0
44,NEFU_FIFTY_SEVEN_00799762,THB,thb,[],1,0
45,NEFU_FIFTY_SEVEN_00799762,USD,,[],1,0
46,NEFU_FIFTY_SEVEN_00799762,USD,boz1,[],6,0
47,NEFU_FIFTY_SEVEN_00799762,USD,clu1,[],6,0
48,NEFU_FIFTY_SEVEN_00799762,USD,clv1,[],2,0
49,NEFU_FIFTY_SEVEN_00799762,USD,cov1,[],4,0
50,NEFU_FIFTY_SEVEN_00799762,USD,cox1,"[897.72, -253.76, 131.6, 146.64, -108.16, -104.0, 157.92, -95.68, -89.44, -210.08, 48.88, -68.64, 189.88, 62.04, -66.56, 60.16, -54.08, 80.84, -174.72, 86.48, -162.24, 94.0, 97.76, 229.36, -145.6, -908.12]",0,0
51,NEFU_FIFTY_SEVEN_00799762,USD,coz1,[],10,0
52,NEFU_FIFTY_SEVEN_00799762,USD,esu1,"[-125.66, -4086.48, 7564.26, -238.94, -5613.4, -230.06, 6940.4, -4962.5, -864.22, -92.8, 9638.12, -338.52, -850.0, -5579.4, -201.44, -712.5, -199.1, -5449.34, 2105.06, -2244.7, -194.48, -191.78, -189.26, 1351.44, -1075.0, 4188.94, 2404.28, -152.9, -148.28, -263.12, -133.38, -643.02, -258.1, -129.12]",0,0
53,NEFU_FIFTY_SEVEN_00799762,USD,hou1,[],8,0
54,NEFU_FIFTY_SEVEN_00799762,USD,nqu1,[],1,0
55,NEFU_FIFTY_SEVEN_00799762,USD,qsu1,[],2,0
56,NEFU_FIFTY_SEVEN_00799762,USD,s x1,[],10,0
57,NEFU_FIFTY_SEVEN_00799762,USD,thb,[],1,0
58,NEFU_FIFTY_SEVEN_00799762,USD,twtn1,"[-32.4, 322.31, -38010.0, -408.24, -312.66, 38090.66, -18.33, 432.49, -46.36, -299.7, 282.23]",7,1
59,NEFU_FIFTY_SEVEN_00799762,USD,tyu1,[],3,0
60,NEFU_FIFTY_SEVEN_00799762,USD,xbu1,[],2,0
61,NEFU_FIFTY_SEVEN_00799764,USD,rtym1,[],2,0
62,NEFU_FIFTY_SEVEN_00799764,USD,rtyu1,[],5,0
63,NEFU_FIFTY_SEVEN_00799764,USD,usu1,[],2,0
64,NEFU_FIFTY_SEVEN_00799769,CAD,ptu1,[],2,0
65,NEFU_FIFTY_SEVEN_00799769,EUR,cfq1,"[5217.94, -3262.98, -27.48, 2894.05, -12.8, -11.87, -876.69, -7.5, -3912.7]",9,0
66,NEFU_FIFTY_SEVEN_00799769,EUR,eoq1,[],2,0
67,NEFU_FIFTY_SEVEN_00799769,EUR,ibq1,[],2,0
68,NEFU_FIFTY_SEVEN_00799769,EUR,oatu1,[],1,0
69,NEFU_FIFTY_SEVEN_00799769,EUR,stu1,"[-6652.62, 2716.26, -3041.54, 429.29, -2765.47, 307.01, 835.3, -568.65, 8268.41, -948.73, -31.53, -1814.38, -21.8, -787.86, -17.09, -15.03, -12.37, -10.61, 1399.23, -10.31]",0,0
70,NEFU_FIFTY_SEVEN_00799769,EUR,vgu1,[],2,0
71,NEFU_FIFTY_SEVEN_00799769,GBP,g u1,[],2,0
72,NEFU_FIFTY_SEVEN_00799769,JPY,tpu1,"[-91.02, -1819.57, -450.35, -8917.69, 229.48, -14.34, 5748.98, -8.6, 7418.63, -4.78, 93.88, -2182.71, -1.91]",4,1
73,NEFU_FIFTY_SEVEN_00799769,SGD,qzq1,[],2,0
74,NEFU_FIFTY_SEVEN_00799769,THB,,[],1,0
75,NEFU_FIFTY_SEVEN_00799769,USD,,[],1,0
76,NEFU_FIFTY_SEVEN_00799769,USD,adu1,[],13,0
77,NEFU_FIFTY_SEVEN_00799769,USD,adu1 curncy,[],2,0
78,NEFU_FIFTY_SEVEN_00799769,USD,clu1,[],2,0
79,NEFU_FIFTY_SEVEN_00799769,USD,cou1,[],10,0
