,BreakID,BusinessDate,Final_predicted_break,ML_flag,Predicted_Status,Predicted_action,SetupID,SourceCombinationCode,TaskID,probability_No_pair,probability_UMB,probability_UMR,probability_UMT,Side1_UniqueIds,PredictedComment,PredictedCategory,Side0_UniqueIds,ActionType,ActionTypeCode,ReconSetupName,ClientShortCode,CreatedDate
0,1860344191,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,72_8971470069_Newedge,,match,169_8971470069_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
1,1860344167,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,232_8971470255_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
2,1860344168,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,232_8971470069_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
3,2071655889,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,180_8971454063_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
4,1860344357,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,,,match,94_8971470069_Advent Geneva,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
5,1860344358,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,,,match,93_8971470069_Advent Geneva,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
6,1860344363,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,,,match,95_8971470069_Advent Geneva,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
7,2088714788,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,230_8971466268_Newedge,,match,173_8971466268_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
8,2069323697,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,181_8971452119_Newedge,,match,177_8971452119_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
9,2051927343,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,194_8971438425_Newedge,,match,81_8971438425_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
10,2094162884,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,72_8971470255_Newedge,,match,169_8971470255_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
11,2088714809,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,73_8971466268_Newedge,,match,174_8971466268_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
12,2061446553,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,44_8971446202_Newedge,,match,100_8971446202_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
13,2044955337,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,180_8971432624_Newedge,,match,107_8971432624_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
