,ViewData.BreakID,ViewData.Status,ViewData.SPM ID,Currency,ViewData.Custodian Account,ViewData.ISIN,ViewData.Transaction Type,Trade Date,Settle Date,ViewData.Investment Type,ViewData.CUSIP,Description,ViewData.Investment ID,ViewData.SEDOL,ViewData.Underlying Cusip,ViewData.Underlying Investment ID,ViewData.Underlying ISIN,ViewData.Underlying Sedol,ViewData.Underlying Ticker,ViewData.Fund,ViewData.Cancel Amount,ViewData.Transaction ID,ViewData.Non Trade Description,ViewData.Accounting Net Amount,ViewData.B-P Net Amount,Net Amount Difference,ViewData.Net Amount Difference Absolute,ViewData.Account Type,ViewData.Portolio,ViewData.Portfolio ID,ViewData.Custodian,ViewData.PB Account Numeric,ViewData.Asset Type Category,ViewData.Business Date,ViewData.Cancel Flag,ViewData.Prime Broker,ViewData.Quantity,ViewData.Strategy,ViewData.Price,ViewData.Commission,ViewData.Transaction Category,ViewData.Value Date,ViewData.ExpiryDate,ViewData.UserTran1,ViewData.UserTran2,ViewData.Knowledge Date,ViewData.Prior Knowledge Date,ViewData.Base Net Amount,ViewData.Base Currency,ViewData.Break Tag,ViewData.Department,ViewData.Group,ViewData.Strike Price,ViewData.ETL Package Code,ViewData.ETL File Code,ViewData.Activity Code,ViewData.Sec Fees,ViewData.FX Rate,ViewData.OTE Ticker,ViewData.OTEIncludeFlag,ViewData.Call Put Indicator,ViewData.Bloomberg_Yellow_Key,ViewData.Custom 1,ViewData.Custom 2,ViewData.Custom 3,ViewData.Custom 4,ViewData.Custom 5,ViewData.Custom 6,ViewData.Custom 7,ViewData.Custom 8,ViewData.Custom 9,ViewData.Custom 10,ViewData.Custom 11,ViewData.Custom 12,ViewData.Custom 13,ViewData.Custom 14,ViewData.Custom 15,ViewData.Principal Amount,ViewData.Interest Amount,ViewData.Trade Expenses,ViewData.OTE Custodian Account,ViewData.LoanX ID,ViewData.Legal Entity,ViewData.Derived Source,ViewData.Alt ID 1,ViewData.Custom 41,ViewData.Custom 40,ViewData.UnMapped,ViewData.Base Closing Balance,ViewData.Closing Balance,ViewData.Closing Date,ViewData.PB Account,ViewData.Balance FX Rate,ViewData.Custom 16,ViewData.Custom 17,ViewData.Custom 18,ViewData.Custom 19,ViewData.Custom 20,ViewData.Principal Balance,ViewData.Interest Balance,ViewData.PB Account Number,ViewData.Account Name,ViewData.Fund Structure,ViewData.Balance Derived Source,ViewData._ID,ViewData.Rule And Key,ViewData.Keys,ViewData.Age,ViewData.Age WK,ViewData.Priority,ViewData.ClusterID,ViewData.System Comments,ViewData.InternalComment1,ViewData.InternalComment2,ViewData.InternalComment3,ViewData.ExternalComment1,ViewData.ExternalComment2,ViewData.ExternalComment3,ViewData.Workflow Status,ViewData.Workflow Remark,ViewData.Assigned To,ViewData.Reviewer,ViewData.Recon Purpose,ViewData.Recon Data Model,ViewData.Recon Setup,ViewData.Task ID,ViewData.Recon Setup Code,ViewData.Client,ViewData.ClientShortCode,ViewData.Task Business Date,ViewData.Task Knowledge Date,ViewData.Source Combination,ViewData.Source Combination Code,ViewData.CombinedAndIsPaired,ViewData.SourceTypeCode,ViewData.Source,ViewData.Source Type Code Combination,ViewData.Source Type Combination,ViewData._Actions,ViewData._GroupID,ViewData.Type,Custodian Account,ViewData.Mapped_Fund,ViewData.BalanceAcc,ViewData.BalancePB,ViewData.BaseBalanceAcc,ViewData.BaseBalancePB,ViewData.Balances Fund,ViewData.Balances Account Name,ViewData.Balances PB Account Number,ViewData.Balances Fund Structure,ViewData.Balances Alt ID 1,ViewData.Balances Balance FX Rate,ViewData.Has Attachments,ViewData.TabID,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.Is Combined Data,ViewData.Accounting Cancel Amount,ViewData.Cust Cancel Amount,ViewData.Cancel Amount Difference,ViewData.Accounting Quantity,ViewData.Cust Quantity,ViewData.Quantity Difference,ViewData.Accounting Fund,ViewData.Cust Fund,ViewData.Fund Difference,ViewData.Accounting Base Net Amount,ViewData.Cust Base Net Amount,ViewData.Base Net Amount Difference,remove_or_keep_for_multiple_uniqueids_in_ob_issue,Ticker1,Settle Date1,Trade Date1,Net Amount Difference1,reciprocal_conversion,conversion,Trade Date for extracting day
0,2066111138,OB,,JPY,NEFU_FIFTY_SEVEN_00799769,,Unwind,2021-07-26,2021-07-26,STOCKFUT,,TOPIX INDX FUTR   Sep21,TPU1,,,TPX,JP9010100007,,TOPIX INDX FUTR   Sep21,FIFTY_SEVEN,979685.0,23861266,,979685.0,,-979685.0,979685.0,NA,,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,NEFU,,07-26-2021,0.0,NEFU,6.0,FARRINGDON-FUT-SPEC,,630.0,,,09-09-2021,,,,07-26-2021,,,,,SGNY,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW-FCM,,,,,-829.36,17438765.5,07-26-2021,,,,,,,,,,,,,,61137a081e9c9c0d7834f6a4,Cash Non Trade Rule,,15,12,Low,,No matching record found,,MV Swing,OTE,,,No action,None,,,,Cash,Universal Cash,Schonfeld Cash - 57,8971470069,897,Schonfeld,SCHONF,2021-08-09T00:00:00,8/10/2021,"Advent Geneva,Newedge",-1184097190,False,Accounting,Advent Geneva,"Accounting,Cust","Accounting,Custodian",,61137a081e9c9c0d7834f6a4,Breaks,NEFU_FIFTY_SEVEN_00799769,,13945497.5,13780172.0,-621.73,13780172.0,FIFTY_SEVEN,,99769,,M,0.0,,1,92_8971450109_Advent Geneva,,,979685.0,,-979685.0,6.0,,-6.0,FIFTY_SEVEN,,False,,,0.0,keep,tpu1,2021-07-26,2021-07-26,-8917.69,109.8586,0.009102610082415032,2021-07-26
1,2035491566,OB,,JPY,NEFU_FIFTY_SEVEN_00799769,,Unwind,2021-07-06,2021-07-06,STOCKFUT,,TOPIX INDX FUTR   Sep21,TPU1,,,TPX,JP9010100007,,TOPIX INDX FUTR   Sep21,FIFTY_SEVEN,9371.0,22065338,,9999.0,,-9999.0,9999.0,NA,,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,NEFU,,07-07-2021,0.0,NEFU,10.0,FARRINGDON-FUT-SPEC,,1050.0,,,09-09-2021,,,,07-07-2021,,,,,SGNY,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW-FCM,,,,,-1187.52,16291706.5,07-07-2021,,,,,,,,,,,,,,61137a081e9c9c0d7834f6d4,Cash Non Trade Rule,,34,25,Low,,No matching record found,,MV Swing,OTE,,,No action,None,,,,Cash,Universal Cash,Schonfeld Cash - 57,8971470069,897,Schonfeld,SCHONF,2021-08-09T00:00:00,8/10/2021,"Advent Geneva,Newedge",-1184097190,False,Accounting,Advent Geneva,"Accounting,Cust","Accounting,Custodian",,61137a081e9c9c0d7834f6d4,Breaks,NEFU_FIFTY_SEVEN_00799769,,13945497.5,13780172.0,-621.73,13780172.0,FIFTY_SEVEN,,99769,,M,0.0,,1,255_8971424734_Advent Geneva,,,9371.0,,-9371.0,10.0,,-10.0,FIFTY_SEVEN,,False,,,0.0,keep,tpu1,2021-07-06,2021-07-06,-91.02,109.8586,0.009102610082415032,2021-07-06
2,2044955552,OB,,USD,99762,,Commission,2021-07-13,2021-07-13,Index,,JUL 21 FTSE TAIWAN FU,TWTN,,TWTN,,,,,FIFTY_SEVEN,1539.25,1GMC  0I90,,,-408.24,-408.24,408.24,,,FIFTY_SEVEN,,,,07-13-2021,,NEFU,252.0,,,-408.24,,,,,,07-14-2021,,,,,,,,FCMNEWTDCASHACT01,6015_NEW_CASH_ACT_01,T,,,,,,,Group,,,,,,,-73.44,-36.0,1471.0,,,,,,,,,,,,,M,,,,-24651394.99,-24651394.99,,,,,,,,,,,99762,,,,61137a081e9c9c0d7834f726,Cash Non Trade Rule,,29,21,Low,,No matching record found,,"Commission difference, SFO to advise",Commission,,,SFO to advise,None,,,,Cash,Universal Cash,Schonfeld Cash - 57,8971470069,897,Schonfeld,SCHONF,2021-08-09T00:00:00,8/10/2021,"Advent Geneva,Newedge",-1184097190,False,Cust,Newedge,"Accounting,Cust","Accounting,Custodian",,61137a081e9c9c0d7834f726,Breaks,NEFU_FIFTY_SEVEN_00799762,,-26567041.830000002,-26581084.209999997,-26702804.41,-26581084.209999997,FIFTY_SEVEN,,99762,,M,0.0,,1,,251_8971432624_Newedge,,,1539.25,1539.25,,252.0,252.0,,FIFTY_SEVEN,False,,,0.0,keep,twtn1,2021-07-13,2021-07-13,-408.24,1.0,1.0,2021-07-13
3,2056712054,OB,,JPY,99769,,Commission,2021-07-20,2021-07-20,Index,,SEP 21 OSE TOPIX,TPU1,,TPU1,,,,,FIFTY_SEVEN,3771.0,1GTJ  DwA0,,,-210.0,-210.0,210.0,,,FIFTY_SEVEN,,,,07-20-2021,,NEFU,2.0,,,-210.0,,,,,,07-21-2021,,,,,,,,FCMNEWTDCASHACT01,6015_NEW_CASH_ACT_01,T,,,,,,,Group,,,,,,,-154.0,-28.0,6374.0,,,,,,,,,,,,,M,,,,15836130.0,15836130.0,,,,,,,,,,,99769,,,,61137a081e9c9c0d7834f789,Cash Non Trade Rule,,22,16,Low,,No matching record found,,MV Swing,OTE,,,No action,None,,,,Cash,Universal Cash,Schonfeld Cash - 57,8971470069,897,Schonfeld,SCHONF,2021-08-09T00:00:00,8/10/2021,"Advent Geneva,Newedge",-1184097190,False,Cust,Newedge,"Accounting,Cust","Accounting,Custodian",,61137a081e9c9c0d7834f789,Breaks,NEFU_FIFTY_SEVEN_00799769,,13945497.5,13780172.0,-621.73,13780172.0,FIFTY_SEVEN,,99769,,M,0.0,,1,,208_8971442331_Newedge,,,3771.0,3771.0,,2.0,2.0,,FIFTY_SEVEN,False,,,0.0,keep,tpu1,2021-07-20,2021-07-20,-1.91,109.8586,0.009102610082415032,2021-07-20
4,2069323841,OB,,JPY,99769,,Unwind,2021-07-27,2021-07-27,Index,,SEP 21 OSE TOPIX,TPU1,,TPU1,,,,,FIFTY_SEVEN,-1954.0,1G5J  3880,,,815000.0,815000.0,815000.0,,,FIFTY_SEVEN,,,,07-27-2021,,NEFU,0.0,,,-630.0,,,,,,07-28-2021,,,,,,,,FCMNEWTDCASHACT01,6015_NEW_CASH_ACT_01,P,,,,,,,Group,,,,,,,-231.0,-42.0,680.0,,,,,,,,,,,,,M,,,,17272565.0,17272565.0,,,,,,,,,,,99769,,,,61137a081e9c9c0d7834f793,Cash Non Trade Rule,,15,11,Low,,No matching record found,,MV Swing,OTE,,,No action,None,,,,Cash,Universal Cash,Schonfeld Cash - 57,8971470069,897,Schonfeld,SCHONF,2021-08-09T00:00:00,8/10/2021,"Advent Geneva,Newedge",-1184097190,False,Cust,Newedge,"Accounting,Cust","Accounting,Custodian",,61137a081e9c9c0d7834f793,Breaks,NEFU_FIFTY_SEVEN_00799769,,13945497.5,13780172.0,-621.73,13780172.0,FIFTY_SEVEN,,99769,,M,0.0,,1,,49_8971452119_Newedge,,,-1954.0,-1954.0,,0.0,0.0,,FIFTY_SEVEN,False,,,0.0,keep,tpu1,2021-07-27,2021-07-27,7418.63,109.8586,0.009102610082415032,2021-07-27
5,2069323911,OB,,USD,99762,,Commission,2021-07-27,2021-07-27,Index,,JUL 21 FTSE TAIWAN FU,TWTN,,TWTN,,,,,FIFTY_SEVEN,-18069.0,1G5C baf20,,,-32.4,-32.4,32.4,,,FIFTY_SEVEN,,,,07-27-2021,,NEFU,-20.0,,,-32.4,,,,,,07-28-2021,,,,,,,,FCMNEWTDCASHACT01,6015_NEW_CASH_ACT_01,T,,,,,,,Group,,,,,,,-12.24,-6.0,1530.0,,,,,,,,,,,,,M,,,,-26562004.78,-26562004.78,,,,,,,,,,,99762,,,,61137a081e9c9c0d7834f777,Cash Non Trade Rule,,15,11,Low,,No matching record found,,"Commission difference, SFO to advise",Commission,,,SFO to advise,None,,,,Cash,Universal Cash,Schonfeld Cash - 57,8971470069,897,Schonfeld,SCHONF,2021-08-09T00:00:00,8/10/2021,"Advent Geneva,Newedge",-1184097190,False,Cust,Newedge,"Accounting,Cust","Accounting,Custodian",,61137a081e9c9c0d7834f777,Breaks,NEFU_FIFTY_SEVEN_00799762,,-26567041.830000002,-26581084.209999997,-26702804.41,-26581084.209999997,FIFTY_SEVEN,,99762,,M,0.0,,1,,244_8971452119_Newedge,,,-18069.0,-18069.0,,-20.0,-20.0,,FIFTY_SEVEN,False,,,0.0,keep,twtn1,2021-07-27,2021-07-27,-32.4,1.0,1.0,2021-07-27
6,2071656267,OB,,USD,99762,,Commission,2021-07-28,2021-07-28,Index,,JUL 21 FTSE TAIWAN FU,TWTN,,TWTN,,,,,FIFTY_SEVEN,-26986.5,1G6C  g7E0,,,-46.36,-46.36,46.36,,,FIFTY_SEVEN,,,,07-28-2021,,NEFU,-38.0,,,-46.36,,,,,,07-29-2021,,,,,,,,FCMNEWTDCASHACT01,6015_NEW_CASH_ACT_01,T,,,,,,,Group,,,,,,,-18.36,-1.8,1913.0,,,,,,,,,,,,,M,,,,-26161729.53,-26161729.53,,,,,,,,,,,99762,,,,61137a081e9c9c0d7834f781,Cash Non Trade Rule,,14,10,Low,,No matching record found,,"Commission difference, SFO to advise",Commission,,,SFO to advise,None,,,,Cash,Universal Cash,Schonfeld Cash - 57,8971470069,897,Schonfeld,SCHONF,2021-08-09T00:00:00,8/10/2021,"Advent Geneva,Newedge",-1184097190,False,Cust,Newedge,"Accounting,Cust","Accounting,Custodian",,61137a081e9c9c0d7834f781,Breaks,NEFU_FIFTY_SEVEN_00799762,,-26567041.830000002,-26581084.209999997,-26702804.41,-26581084.209999997,FIFTY_SEVEN,,99762,,M,0.0,,1,,247_8971454063_Newedge,,,-26986.5,-26986.5,,-38.0,-38.0,,FIFTY_SEVEN,False,,,0.0,keep,twtn1,2021-07-28,2021-07-28,-46.36,1.0,1.0,2021-07-28
7,2071656266,OB,,USD,99762,,Unwind,2021-07-28,2021-07-28,Index,,JUL 21 FTSE TAIWAN FU,TWTN,,TWTN,,,,,FIFTY_SEVEN,-26986.5,1G6C  g7E0,,,-38010.0,-38010.0,38010.0,,,FIFTY_SEVEN,,,,07-28-2021,,NEFU,0.0,,,-107.92,,,,,,07-29-2021,,,,,,,,FCMNEWTDCASHACT01,6015_NEW_CASH_ACT_01,P,,,,,,,Group,,,,,,,-37.74,-18.5,472.0,,,,,,,,,,,,,M,,,,-26161729.53,-26161729.53,,,,,,,,,,,99762,,,,61137a081e9c9c0d7834f7af,Cash Non Trade Rule,,14,10,Low,,No matching record found,,"Commission difference, SFO to advise",Commission,,,SFO to advise,None,,,,Cash,Universal Cash,Schonfeld Cash - 57,8971470069,897,Schonfeld,SCHONF,2021-08-09T00:00:00,8/10/2021,"Advent Geneva,Newedge",-1184097190,False,Cust,Newedge,"Accounting,Cust","Accounting,Custodian",,61137a081e9c9c0d7834f7af,Breaks,NEFU_FIFTY_SEVEN_00799762,,-26567041.830000002,-26581084.209999997,-26702804.41,-26581084.209999997,FIFTY_SEVEN,,99762,,M,0.0,,1,,85_8971454063_Newedge,,,-26986.5,-26986.5,,0.0,0.0,,FIFTY_SEVEN,False,,,0.0,keep,twtn1,2021-07-28,2021-07-28,-38010.0,1.0,1.0,2021-07-28
8,2051927537,OB,,USD,99762,,Commission,2021-07-16,2021-07-16,Index,,JUL 21 FTSE TAIWAN FU,TWTN,,TWTN,,,,,FIFTY_SEVEN,3101.5,1GPC  8480,,,-299.7,-299.7,299.7,,,FIFTY_SEVEN,,,,07-16-2021,,NEFU,185.0,,,-299.7,,,,,,07-19-2021,,,,,,,,FCMNEWTDCASHACT01,6015_NEW_CASH_ACT_01,T,,,,,,,Group,,,,,,,-62.22,-30.5,2950.0,,,,,,,,,,,,,M,,,,-24439012.56,-24439012.56,,,,,,,,,,,99762,,,,61137a081e9c9c0d7834f7b8,Cash Non Trade Rule,,26,18,Low,,No matching record found,,"Commission difference, SFO to advise",Commission,,,SFO to advise,None,,,,Cash,Universal Cash,Schonfeld Cash - 57,8971470069,897,Schonfeld,SCHONF,2021-08-09T00:00:00,8/10/2021,"Advent Geneva,Newedge",-1184097190,False,Cust,Newedge,"Accounting,Cust","Accounting,Custodian",,61137a081e9c9c0d7834f7b8,Breaks,NEFU_FIFTY_SEVEN_00799762,,-26567041.830000002,-26581084.209999997,-26702804.41,-26581084.209999997,FIFTY_SEVEN,,99762,,M,0.0,,1,,265_8971438425_Newedge,,,3101.5,3101.5,,185.0,185.0,,FIFTY_SEVEN,False,,,0.0,keep,twtn1,2021-07-16,2021-07-16,-299.7,1.0,1.0,2021-07-16
9,2066110617,OB,,USD,99760,,Unwind,2021-07-26,2021-07-26,Comdty,,SEP 21 NYM RBOB GAS,XBU1,,XBU1,,,,,FIFTY_SEVEN,-221.35,1GVP d3uo0,,,-1822.8,-1822.8,1822.8,,,FIFTY_SEVEN,,,,07-26-2021,,NEFU,0.0,,,-1.64,,,,,,07-27-2021,,,,,,,,FCMNEWTDCASHACT01,6015_NEW_CASH_ACT_01,P,,,,,,,Group,,,,,,,-0.72,0.0,155.0,,,,,,,,,,,,,M,,,,1742919.33,1742919.33,,,,,,,,,,,99760,,,,61137a081e9c9c0d7834f840,Cash Non Trade Rule,,16,12,Low,,No matching record found,,MV Swing,OTE,,,No action,None,,,,Cash,Universal Cash,Schonfeld Cash - 57,8971470069,897,Schonfeld,SCHONF,2021-08-09T00:00:00,8/10/2021,"Advent Geneva,Newedge",-1184097190,False,Cust,Newedge,"Accounting,Cust","Accounting,Custodian",,61137a081e9c9c0d7834f840,Breaks,NEFU_FIFTY_SEVEN_00799760,,1346860.6,1294935.52,0.0,1294935.52,FIFTY_SEVEN,,99760,,M,0.0,,1,,76_8971450109_Newedge,,,-221.35,-221.35,,0.0,0.0,,FIFTY_SEVEN,False,,,0.0,keep,xbu1,2021-07-26,2021-07-26,-1822.8,1.0,1.0,2021-07-26
