,Fund,Custodian Account,Pos_security,Currency,Pos_Desc,pos_qnt_diff,Local Price Diff,Local MV Diff,Ticker1,col_to_merge
0,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799811,Futures,HKD,SEP 21 HS INDEX,1,259.74,15800.0,hiu1,NEFU_FIFTY_SEVEN_00799811HKDhiu1
1,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,NZD,NEW ZEAL 3MO BILL JUN22,-84,0.0,2869.53,zbm2,NEFU_FIFTY_SEVEN_00799760NZDzbm2
2,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,JPY,NIKKEI 225  (SGX) Sep21,11,-27294.3,577500.0,niu1,NEFU_FIFTY_SEVEN_00799762JPYniu1
3,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,JPY,JPN 10Y BOND(OSE) SEP21,3,0.0,390000.0,jbu1,NEFU_FIFTY_SEVEN_00799802JPYjbu1
4,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,JPY,TOPIX INDX FUTR   Sep21,24,0.0,940000.0,tpu1,NEFU_FIFTY_SEVEN_00799802JPYtpu1
5,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,AUD,SPI 200 FUTURES   Sep21,19,0.0,57675.0,xpu1,NEFU_FIFTY_SEVEN_00799802AUDxpu1
6,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799803,Futures,USD,FTSE TAIWAN INDEX AUG21,-5,0.0,90660.0,twtq1,NEFU_FIFTY_SEVEN_00799803USDtwtq1
7,FIFTY_SEVEN,CPTRS_FIFTY_SEVEN_C0000038210,Equities,USD,CME GROUP CL A ORD,-15000,-208.77,-3131550.0,cme us,CPTRS_FIFTY_SEVEN_C0000038210USDcme us
8,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,AUD,AUST 3YR BOND FUT SEP21,479,99.71,-12809.86,ymu1,NEFU_FIFTY_SEVEN_00799760AUDymu1
9,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,USD,NATURAL GAS FUTR  Sep21,-4,-4.027,-540.0,ngu21,NEFU_FIFTY_SEVEN_00799760USDngu21
10,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,AUD,AUST 3YR BOND FUT Sep21,-479,-99.71,13323.53,ymu1,NEFU_FIFTY_SEVEN_00799760AUDymu1
11,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,USD,SEP 21 NATURAL GAS,4,4.027,540.0,ngu1 21,NEFU_FIFTY_SEVEN_00799760USDngu1 21
12,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,USD,NATURAL GAS FUTR  Sep21,2,-4.027,2850.0,ngu21,NEFU_FIFTY_SEVEN_00799769USDngu21
13,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,USD,SEP 21 NATURAL GAS,-2,4.027,-980.0,ngu1 21,NEFU_FIFTY_SEVEN_00799769USDngu1 21
14,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799803,Futures,AUD,AUST 3YR BOND FUT SEP21,-60,99.71,2264.46,ymu1,NEFU_FIFTY_SEVEN_00799803AUDymu1
15,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799803,Futures,AUD,AUST 3YR BOND FUT Sep21,60,-99.71,-2265.45,ymu1,NEFU_FIFTY_SEVEN_00799803AUDymu1
16,FIFTY_SEVEN,SCF_FIFTY_SEVEN_CUST,Equities,USD,COMEX SEAT,-2,-80000.0,-160000.0,comex_seat,SCF_FIFTY_SEVEN_CUSTUSDcomex_seat
17,FIFTY_SEVEN,SCF_FIFTY_SEVEN_CUST,Equities,USD,NYMEX_SEAT,-2,-212500.0,-425000.0,nymex_seat,SCF_FIFTY_SEVEN_CUSTUSDnymex_seat
18,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,THB,SET50 FUTURES     Sep21,0,0.0,0.0,bcu1,NEFU_FIFTY_SEVEN_00799762THBbcu1
19,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,THB,SET50 FUTURES     Sep21,0,0.0,0.0,bcu1,NEFU_FIFTY_SEVEN_00799769THBbcu1
20,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,EUR,CAC40 10 EURO FUT AUG21,0,0.0,0.0,cfq1,NEFU_FIFTY_SEVEN_00799762EURcfq1
21,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,CAD,CAN 10YR BOND FUT SEP21,0,0.0,0.0,cnu1,NEFU_FIFTY_SEVEN_00799760CADcnu1
22,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,CAD,CAN 10YR BOND FUT SEP21,0,0.0,0.0,cnu1,NEFU_FIFTY_SEVEN_00799769CADcnu1
23,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,CAD,CAN 10YR BOND FUT SEP21,0,0.0,0.0,cnu1,NEFU_FIFTY_SEVEN_00799802CADcnu1
24,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,EUR,AMSTERDAM IDX FUT AUG21,0,0.0,0.0,eoq1,NEFU_FIFTY_SEVEN_00799802EUReoq1
25,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,CHF,EURO CHF 3MO LIF SEP21,0,0.0,0.0,esu1,NEFU_FIFTY_SEVEN_00799760CHFesu1
26,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,EUR,AMSTERDAM IDX FUT AUG21,0,0.0,0.0,eoq1,NEFU_FIFTY_SEVEN_00799762EUReoq1
27,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,EUR,AMSTERDAM IDX FUT AUG21,0,0.0,0.0,eoq1,NEFU_FIFTY_SEVEN_00799769EUReoq1
28,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,EUR,VSTOXX Future     Oct21,0,0.0,0.0,fvsv1,NEFU_FIFTY_SEVEN_00799802EURfvsv1
29,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,GBP,LONG GILT FUTURE  Sep21,0,0.0,0.0,g u1,NEFU_FIFTY_SEVEN_00799769GBPg u1
30,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,GBP,LONG GILT FUTURE  Sep21,0,0.0,0.0,g u1,NEFU_FIFTY_SEVEN_00799802GBPg u1
31,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,EUR,DAX INDEX FUTURE  Sep21,0,0.0,0.0,gxu1,NEFU_FIFTY_SEVEN_00799762EURgxu1
