,index,Ticker1
0,esu1,223
1,tpu1,174
2,xpu1,152
3,vgu1,135
4,kmu1,124
5,ymu1,57
6,boz1,55
7,xun1,48
8,twtq1,38
9,qzq1,37
10,niu1,37
11,hiq1,36
12,ibq1,36
13,adu1,34
14,stu1,30
15,cfq1,29
16,cox1,28
17,zbm2,27
18,gxu1,25
19,bcu1,24
20,xmu1,23
21,xuq1,20
22,krsu1,19
23,twtn1,19
24,hin1,18
25,xbu1,17
26,hcq1,16
27,ikq1,15
28,ihq1,14
29,uxq1,13
30,hou1,12
31,z u1,12
32,coz1,12
33,s x1,10
34,cou1,10
35,tyu1,9
36,kaau1,9
37,uxn1,9
38,w u1,8
39,,8
40,clu1,8
41,aiu1,7
42,iru2,7
43,smu1,7
44,ihn1,6
45,fvsu1,6
46,rtyu1,6
47,smz1,5
48,siu1,5
49,adu1 curncy,5
50,ptu1,4
51,cov1,4
52,xbx1,4
53,ecu1,4
54,nou1,4
55,g u1,3
56,usu1,3
57,keu1,3
58,ngu21,3
59,ngu1 21,3
60,jyu1,3
61,enq1,3
62,lhv1,2
63,btcj1 curncy,2
64,fvu1,2
65,nqu1,2
66,eoq1,2
67,clv1,2
68,fvsq1,2
69,rtym1,2
70,uxu1,2
71,cvu1,2
72,qsu1,2
73,thb,2
74,lhz1,1
75,lhq1,1
76,jyu1 curncy,1
77,kuq1,1
78,sxou1,1
79,jbu1,1
80,oatu1,1
81,ihm1,1
82,lcz1,1
83,lcv1,1
84,smn1,1
85,hiu1,1
86,ltyu1,1
87,gcz1,1
