,index,ViewData.InternalComment2
0,FX to be settled at Integrata,126736
1,Transfer wire to be posted at Integrata,23174
2,External management fee booked at Caceis. Integrata to book the same,21156
3,FROC payment booked at Caceis. Integrata to book the same,21156
4,Transfer wire to be posted in Integrata,13837
5,Interest to be posted at Integrata.,13118
6,FX wire posted at Caceis. Integrata to book the same,12870
7,FROC payment booked at Caceis. integrata to book the same,11352
8,External management fee booked at Caceis. integrata to book the same,9675
9,Fees booked at Caceis. integrata to book the same,6194
10,FX  to  be  settled at Integrata for  SD  05-28-2021,5244
11,External Distribution fee booked at Caceis. Integrata to book the same,4644
12,FX to be settled at Integrata for SD 07-15-2021.,3672
13,Caceis External Management Fee booked at Caceis. To be posted in Integrata.,2868
14,Management Fees booked at Caceis for SD : 06-10-2021. Integrata to book the same,2352
15,Month end Interest to be posted at Integrata,2304
16,Derivatives fee booked at Caceis. Integrata to book the same.,2286
17,Net Sub/Red posted at Integrata. Caceis to book the same,2176
18,FX to  be  settled at Integrata for SD  06-04-2021,2173
19,FROC  payment booked at Caceis for SD: 06-10-2021. Integrata to book the same,2058
20,Month end Interest booked in Caceis. To be booked in Integrata,1503
21,"External Management Fees booked at Caceis for SD 07-12-2021. Integrata to book the same
",1296
22,FROC  payment booked at Caceis for SD : 07-12-2021. Integrata to book the same,1296
23,FX  to  be  settled at Integrata for  SD  06-15-2021,1288
24,Interest booked at Caceis. Integrata to book the same,1031
25,FX to be  settled at Integrata for SD 06-11-2021,912
26,Redemption posted at Integrata. Caceis to book the same.,768
27,Redemption posted at Integrata. Caceis to booked the same,768
28,Collateral management booked at Caceis. Integrata to book the same,704
29,Subscription posted at Integrata. Caceis to book the same.,640
30,Subscription posted at Integrata. Caceis to booked the same,640
31,,592
32,Distribution Fees booked at Caceis for SD :06-10-2021. Integrata to book the same,588
33,Cash plug posted after closing Prior to 2019 cash breaks as per Andrew's mail confirmation on 06/10.,560
34,Caceis yet to book the proceeds for S.D 05/11,560
35,"FX to be settled at Integrata for SD 07-09-2021.
",532
36,"FX to be  settled at Integrata for SD 06-28-2021
",518
37,FX to be settled at Integrata for SD 06-18-2021.,516
38,Month end Interest posted at Caceis. Integrata to book the same,512
39,FX to be  settled at Integrata for SD 07-16-2021.,460
40,Interest to be posted at Intergrata for SD 07-01-2021.,455
41,Management Fee booked at Integrata To be posted in Caceos.,420
42,"Interest  posted at Caceis  for SD : 06/21/2021  ,  To be posted at Integrata.",336
43,Interest to be posted at Integrata for SD 07-01-2021.,330
44,AUM    plug  to match Caceis posted  at   Integrata  for SD   06-04-2021.,312
45,"Month  end Interest booked at Caceis for SD : 08-01-2021, Integrata to book the same",312
46,UP/Down between funds,300
47,FACTURATION  FEES  booked at Caceis for SD :  06-08-2021. Integrata to book the same.,300
48,"Caceis yet to reflect the trade proceeds for S.D 07/11,Integrata yet to reflect the mandatory corporate action for S.D 08/06,CACEIS  yet to show the settlement amount.,Integrata booked a trade with comm and cancelled without commission.,Caceis yet to reflect the trade proceeds for S.D 07/31,Integrata booked dividend Fees , Caceis yet to book for S.D 06/11,Caceis yet to process the trade settlement proceeds for the SD of 09-18.,Caceis cancelled the net amount for S.D 08/12, Integrata yet to cancel,Caceis yet to reflect the trade proceeds for S.D 08/05,Caceis yet to process  the trade settlement proceeds for the SD of 09-30.,Caceis yet to process the trade settlement proceeds for the SD of 10-01.,Dividend withholding tax booked at Integrata. Caceis to book the same,Caceis yet to reflect the trade proceeds for S.D 06/20,Integrata booked dividend with holding tax , Caceis yet to book for S.D 06/11,Caceis yet to process the trade settlement proceeds for the SD of 09-30.,Up/Down at Settle Date,Integrata booked trade for qty 345,277 for trade date 02/01,missing in caceis,Caceis yet to reflect the trade proceeds for S.D 08/12,Cash plug posted after closing Prior to 2019 cash breaks as per Andrew's mail confirmation on 06/10.",281
49,"Facturation fee booked in Caceis. To be booked in Integrata,Transfer wire to be booked in Integrata,Transfer wire booked at Caceis. Integrata to book the same,Caceis booked Cancel  entry in same direction.  Lombard to  advise,FX wire posted at Caceis. Integrata to book the same,Caceis booked Cancel entry in same direction.  Lombard to advise,Transfer  wire to be booked in Integrata,COUPONS/DIVIDENDS booked at Caceis. Integrata to book the same,Transfer  wire booked at Caceis. Integrata to book the same,Forex fee to be booked in Integrata. To be booked in CACEIS,DERIVATIVES TRN FEES booked to be booked in Integrata,FX wires booked in Caceis. To be booked in Integrata,Month end Interest for Sep'19 booked in CACEIS. To be booked in Integrata,Transfer wires booked in Caceis. To be booked in Integrata,Wire to be booked in Integrata,Month end Interest for Aug'19 booked in CACEIS. To be booked in Integrata,Up/Down between PB and Feeder account,Transfer wire to be posted in Integrata for the SD of 09-20.,Semi Annual coupon booked in CACEIS. To be booked in Integrata",281
50,"Caceis booked FX Buy and sell trade for SD 03/29 and later cancelled on 04/11.,Transfer from MSCO- booked in Integrata. Caceis to book the same,Caceis yet to process the trade settlement proceeds for the SD of 09-19.,Cash plug posted after closing Prior to 2019 cash breaks as per Andrew's mail confirmation on 06/10.",281
51,"Caceis yet to reflect the dividend for S.D 06/05,Caceis yet to reflect the Proceeds for S.D 06/05,Caceis yet to reflect the dividend for S.D 06/03",281
52,"Mandatory Corporate action to be booked in Integrata for SD 07-30,Facturation fee booked in Caceis. To be booked in Integrata,Transfer wire to be booked in Integrata,Mandatory corporate action booked at Caceis, Integrata yet to book,FX wires booked in Caceis. To be booked in Integrata,Collateral management feeds booked at Caceis . Integrata to book the same,Transfer wire booked at Caceis. Integrata to book the same,Mandatory corporate action booked at Caceis, Integrata yet to book ,Integrata yet to reflect the trade proceeds for S.D 08/14,Month end Interest for Sep'19 booked in CACEIS. To be booked in Integrata,DERIVATIVES TRN FEES booked to be booked in Integrata,Transfer wire to be posted in Integrata,Up/Down between PB and Feeder account,Caceis booked cancellation for 07-30 trade . lombard to advise,Mandatory Corporate action to be booked in Integrata for SD 04-05,Integrata to be booked for SD 04/05.,Caceis yet to reflect the trade proceeds for S.D 08/13,Mandatory Corporate action to be booked in Integrata for SD 08-01,Month end Interest for Aug'19 booked in CACEIS. To be booked in Integrata,Integrata yet to reflect the trade proceeds for S.D 08/15,Integrata yet to process the trade settlement proceeds for the SD of 08-26.,Difference in Dividend booked between Integrata and Caceis. Integrata booked in CAD however caceis is booked in USD currency,Integrata booked DVD in CAD ccy , Where as CACEIS booked in USD ccy,Difference in dividend booked between Integrata and Caceis. Integrata booked in USD, However caceis is reflecting in CAD,Integrata yet to process the trade settlement proceeds for the SD of 08-12.",281
53,Dividend to be posted at Integrata,254
54,Fee booked at Caceis. integrata to book the same,254
55,Transfer  wire booked at Caceis for SD 06-28-2021.  Integrata to book the same.,221
56,Transfer wire posted at Caceis for SD 06-18-2021. Integrata to book the same.,215
57,Transfer   wire booked at Caceis for the SD  of   06-04-2021. Integrata  to book  the same,212
58,Month  end Interest booked in Caceis. To be booked in Integrata,208
