2021-04-20 15:20:33.640520 : Log started for datettime = 21-04-20_15-20-33
2021-04-20 15:20:33.647514 : All function definitions end
2021-04-20 15:20:33.710513 : Mongo DB objects created
2021-04-20 15:20:33.714513 : RabbitMQ Publish object created
2021-04-20 15:20:33.719517 : RabbitMQ ACK object created
2021-04-20 15:21:04.487713 : RabbitMQ Receive file executed
2021-04-20 15:21:35.262289 : RabbitMQ Receive file executed
2021-04-20 15:22:06.040965 : RabbitMQ Receive file executed
2021-04-20 15:22:36.820397 : RabbitMQ Receive file executed
2021-04-20 15:23:07.595278 : RabbitMQ Receive file executed
2021-04-20 15:23:38.380939 : RabbitMQ Receive file executed
2021-04-20 15:24:09.169253 : RabbitMQ Receive file executed
2021-04-20 15:24:39.965925 : RabbitMQ Receive file executed
2021-04-20 15:25:10.754575 : RabbitMQ Receive file executed
2021-04-20 15:25:41.536787 : RabbitMQ Receive file executed
2021-04-20 15:26:12.324595 : RabbitMQ Receive file executed
2021-04-20 15:26:43.104424 : RabbitMQ Receive file executed
2021-04-20 15:27:13.893304 : RabbitMQ Receive file executed
2021-04-20 15:27:44.667152 : RabbitMQ Receive file executed
2021-04-20 15:28:15.455715 : RabbitMQ Receive file executed
2021-04-20 15:28:46.248433 : RabbitMQ Receive file executed
2021-04-20 15:29:17.042232 : RabbitMQ Receive file executed
