,ViewData.Currency,ViewData.Account Type,ViewData.Accounting Net Amount,ViewData.Task ID,ViewData.Source Combination Code,ViewData.Activity Code,ViewData.Age,ViewData.Age WK,ViewData.Asset Type Category,ViewData.Base Currency,ViewData.Base Net Amount,ViewData.Bloomberg_Yellow_Key,ViewData.B-P Net Amount,ViewData.BreakID,ViewData.Business Date,ViewData.Cancel Amount,ViewData.Cancel Flag,ViewData.CUSIP,ViewData.Custodian,ViewData.Custodian Account,ViewData.Derived Source,ViewData.Description,ViewData.Department,ViewData.ExpiryDate,ViewData.ExternalComment1,ViewData.ExternalComment2,ViewData.ExternalComment3,ViewData.Fund,ViewData.FX Rate,ViewData.Interest Amount,ViewData.InternalComment1,ViewData.InternalComment2,ViewData.InternalComment3,ViewData.Investment Type,ViewData.Is Combined Data,ViewData.ISIN,ViewData.Keys,ViewData.Mapped Custodian Account,ViewData.Net Amount Difference,ViewData.Net Amount Difference Absolute,ViewData.Non Trade Description,ViewData.OTE Custodian Account,ViewData.Price,ViewData.Prime Broker,ViewData.Quantity,ViewData.SEDOL,ViewData.Settle Date,ViewData.SPM ID,ViewData.Status,ViewData.Strike Price,ViewData.System Comments,ViewData.Ticker,ViewData.Trade Date,ViewData.Trade Expenses,ViewData.Transaction Category,ViewData.Transaction ID,ViewData.Transaction Type,ViewData.Underlying Cusip,ViewData.Underlying Investment ID,ViewData.Underlying ISIN,ViewData.Underlying Sedol,ViewData.Underlying Ticker,ViewData.Source Combination,ViewData._ID,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.Task Business Date,Date,flag_side0,flag_side1,Trans_side
0,USD,NA,193076.25,3791380114,94406485,,0,0,,,,,,1859551011,05-24-2021,-193076.25,1.0,165167735,Alaska,OKMF86503102,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),,,,,,Alaska,,,,,,COMMON STOCK,,US1651677353,,OKMF86503102,-193076.25,193076.25,,,,BNY,28513.0,BMZ5LZ5,02-04-2021,,CNF,,No matching record found,CHK US,02-02-2021,,,6884963,Buy,,,,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),"Advent Geneva,The Bank of New York Mellon",60b334501e9c9c0c8803408c,1_3791380114_Advent Geneva,None,2021-05-24T00:00:00,2021-05-24,1,0,B_side
1,USD,NA,-1112046.0,3791380114,94406485,,0,0,,,,,,1859551012,05-24-2021,1112046.0,1.0,165167735,Alaska,OKMF86503102,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),,,,,,Alaska,,,,,,COMMON STOCK,,US1651677353,,OKMF86503102,1112046.0,1112046.0,,,,BNY,28514.0,BMZ5LZ5,02-04-2021,,CNF,,No matching record found,CHK US,02-02-2021,,,6943282,Sell,,,,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),"Advent Geneva,The Bank of New York Mellon",60b334501e9c9c0c8803408e,3_3791380114_Advent Geneva,None,2021-05-24T00:00:00,2021-05-24,1,0,B_side
2,EUR,,,3791380114,94406485,,0,-1,INT BEARING CORP DEBT,,,,3715.63,1859551077,05-24-2021,0.0,,MM0025CM3,BNY,943941,,IHO VERWALTUNGS 3.625 15MAY25 144A,,,,,,943941,,,,,,IT,,XS2004438532,,"OKMF86460902,OKMF86473802",3715.63,3715.63,,,0.018125,BNY,205000.0,BJX9RB6,05-17-2021,,OB,,No matching record found,,05-17-2021,,,,Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342d7,None,76_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
3,USD,,,3791380114,94406485,,0,-1,STIF,,,,-307938.9,1859551078,05-24-2021,0.0,,X9USD0023,BNY,527974,,BNY MELLON US TRSRY INSTL 703,,,,,,Arch HIC,,,,,,IM,,X9X9USD00237,,OKMF86485302,-307938.9,307938.9,,,1.0,BNY,307938.9,9A00HFO,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342d8,None,38_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
4,USD,NA,6.77,3791380114,94406485,,0,-1,,,,,,1859551079,05-24-2021,6.77,0.0,165167735,Alaska,OKMF86503102,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),,,,,,Alaska,,,,,,COMMON STOCK,,US1651677353,,OKMF86503102,-6.77,6.77,,,,BNY,1.0,BMZ5LZ5,02-04-2021,,OB,,No matching record found,CHK US,02-02-2021,,,7297300,Corp Action - Tender,,,,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342d9,10_3791380114_Advent Geneva,None,2021-05-24T00:00:00,2021-05-24,1,0,B_side
5,USD,,,3791380114,94406485,,0,-1,STIF,,,,-12.99,1859551080,05-24-2021,0.0,,X9USDBMCR,BNY,394583,,BNY MELLON CASH RESERVE,,,,,,394583,,,,,,IM,,X9X9USDBMCR4,,Wespath I - BNYM,-12.99,12.99,,,1.0,BNY,12.99,9A0S7I1,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342da,None,15_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
6,USD,,,3791380114,94406485,,0,-1,STIF,,,,595000.0,1859551082,05-24-2021,0.0,,X9USDECTI,BNY,943941,,COLLECTIVE US GOVT STIF 7 BPS,,,,,,943941,,,,,,S,,X9X9USDECTI2,,"OKMF86460902,OKMF86473802",595000.0,595000.0,,,1.0,BNY,-595000.0,9A21VWQ,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342dc,None,74_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
7,USD,,,3791380114,94406485,,0,-1,STIF,,,,1422428.96,1859551083,05-24-2021,0.0,,X9USDDGCM,BNY,468888,,DREYFUS GOVT CM INST 289,,,,,,468888,,,,,,S,,X9X9USDDGCM3,,USHY_Arch Re,1422428.96,1422428.96,,,1.0,BNY,-1422428.96,9A0NZKE,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342dd,None,24_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
8,USD,,,3791380114,94406485,,0,-1,STIF,,,,3682705.41,1859551084,05-24-2021,0.0,,X9USDLLEC,BNY,729034,,COLLECTIVE US GOVT STIF 15 BPS,,,,,,PG&E,,,,,,S,,X9X9USDLLEC3,,OKMF86474002,3682705.41,3682705.41,,,1.0,BNY,-3682705.41,9A21VY5,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342de,None,51_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
9,USD,,,3791380114,94406485,,0,-1,STIF,,,,-4227471.06,1859551085,05-24-2021,0.0,,X9USDUMCU,BNY,969453,,UMC CASH SWEEP ACT PROP CASH FD,,,,,,Wespath,,,,,,IM,,X9X9USDUMCU8,,OKMF86474202,-4227471.06,4227471.06,,,1.0,BNY,4227471.06,9A3DXHK,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e0,None,90_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
